Displacement_mm,BaseShear_kN
2.500000000000000000e-01,1.428723878150466220e+01
5.000000000000000000e-01,2.857076769556054074e+01
7.500000000000000000e-01,4.285063728171893160e+01
1.000000000000000000e+00,5.712661194522781472e+01
1.250000000000000000e+00,7.139849448945621191e+01
1.500000000000000000e+00,8.566623726615817702e+01
1.750000000000000000e+00,9.992973652052835121e+01
2.000000000000000000e+00,1.141888525610861507e+02
1.750000000000000000e+00,9.978227512305782909e+01
1.500000000000000000e+00,8.537558529971724397e+01
1.250000000000000000e+00,7.096882304482657844e+01
1.000000000000000000e+00,5.656196372155449836e+01
7.500000000000000000e-01,4.215494996686749118e+01
5.000000000000000000e-01,2.774790374014462202e+01
2.500000000000000000e-01,1.334096354805012474e+01
0.000000000000000000e+00,-1.059921031246847889e+00
-2.500000000000000000e-01,-1.534728779744880711e+01
-5.000000000000000000e-01,-2.963087151887939186e+01
-7.500000000000000000e-01,-4.391057233227472523e+01
-1.000000000000000000e+00,-5.818609436163878001e+01
-1.250000000000000000e+00,-7.245746054332884967e+01
-1.500000000000000000e+00,-8.672450856493661320e+01
-1.750000000000000000e+00,-1.009867333043601860e+02
-2.000000000000000000e+00,-1.152449969824701839e+02
-1.750000000000000000e+00,-1.008383294010697711e+02
-1.500000000000000000e+00,-8.643170114655526959e+01
-1.250000000000000000e+00,-7.202506859055078792e+01
-1.000000000000000000e+00,-5.761831645706890015e+01
-7.500000000000000000e-01,-4.321162967111979469e+01
-5.000000000000000000e-01,-2.880478317911805064e+01
-2.500000000000000000e-01,-1.439788849962590866e+01
0.000000000000000000e+00,8.845814743012169606e-03
2.500000000000000000e-01,1.441537269560161150e+01
5.000000000000000000e-01,2.882191027788806537e+01
7.500000000000000000e-01,4.322832888402896145e+01
1.000000000000000000e+00,5.763458800573368279e+01
1.250000000000000000e+00,7.204056251501461361e+01
1.500000000000000000e+00,8.644575473738615301e+01
1.750000000000000000e+00,1.008508735222454504e+02
2.000000000000000000e+00,1.152482404506715739e+02
1.750000000000000000e+00,1.008417012583000769e+02
1.500000000000000000e+00,8.643511936751897906e+01
1.250000000000000000e+00,7.202851780853912089e+01
1.000000000000000000e+00,5.762188375928147366e+01
7.500000000000000000e-01,4.321511745030516494e+01
5.000000000000000000e-01,2.880834218038937777e+01
2.500000000000000000e-01,1.440166952435301084e+01
0.000000000000000000e+00,-4.956662944309073345e-03
-2.500000000000000000e-01,-1.441175241790035777e+01
-5.000000000000000000e-01,-2.881858755244545378e+01
-7.500000000000000000e-01,-4.322520773097420488e+01
-1.000000000000000000e+00,-5.763136104074506960e+01
-1.250000000000000000e+00,-7.203722904058012944e+01
-1.500000000000000000e+00,-8.644269976967848379e+01
-1.750000000000000000e+00,-1.008474522022287516e+02
-2.000000000000000000e+00,-1.152523729819305487e+02
-1.750000000000000000e+00,-1.008457046989665571e+02
-1.500000000000000000e+00,-8.643907764411903827e+01
-1.250000000000000000e+00,-7.203244658077751694e+01
-1.000000000000000000e+00,-5.762569711908666648e+01
-7.500000000000000000e-01,-4.321901351745895425e+01
-5.000000000000000000e-01,-2.881217001381329723e+01
-2.500000000000000000e-01,-1.440527820640084045e+01
0.000000000000000000e+00,1.453334303706242366e-03
2.500000000000000000e-01,1.440797758046516286e+01
5.000000000000000000e-01,2.881451255968527647e+01
7.500000000000000000e-01,4.322092898930258542e+01
1.000000000000000000e+00,5.762718625499741876e+01
1.250000000000000000e+00,7.203316103445487784e+01
1.500000000000000000e+00,8.643835580702014454e+01
1.750000000000000000e+00,1.008434868881832358e+02
2.000000000000000000e+00,1.152483555650134690e+02
1.750000000000000000e+00,1.008418170523867872e+02
1.500000000000000000e+00,8.643523519369239239e+01
1.250000000000000000e+00,7.202863360450467667e+01
1.000000000000000000e+00,5.762199958920635368e+01
7.500000000000000000e-01,4.321523328971736078e+01
5.000000000000000000e-01,2.880845803843636688e+01
2.500000000000000000e-01,1.440178539549788894e+01
0.000000000000000000e+00,-4.840775617498593343e-03
-2.500000000000000000e-01,-1.441163651129228285e+01
-5.000000000000000000e-01,-2.881847163046025173e+01
-7.500000000000000000e-01,-4.322509179246983280e+01
-1.000000000000000000e+00,-5.763124508452406047e+01
-1.250000000000000000e+00,-7.203711307818558396e+01
-1.500000000000000000e+00,-8.644258378037996238e+01
-1.750000000000000000e+00,-1.008473362020307320e+02
-2.000000000000000000e+00,-1.152523721732472524e+02
-1.750000000000000000e+00,-1.008457064613314884e+02
-1.500000000000000000e+00,-8.643907915595789859e+01
-1.250000000000000000e+00,-7.203244823238807726e+01
-1.000000000000000000e+00,-5.762569870706232678e+01
-7.500000000000000000e-01,-4.321901512217026209e+01
-5.000000000000000000e-01,-2.881217161375796465e+01
-2.500000000000000000e-01,-1.440527980788538898e+01
0.000000000000000000e+00,1.451732498424917073e-03
2.500000000000000000e-01,1.440797597815311093e+01
5.000000000000000000e-01,2.881451095693905273e+01
7.500000000000000000e-01,4.322092738610380280e+01
1.000000000000000000e+00,5.762718464787574391e+01
1.250000000000000000e+00,7.203315942965025442e+01
1.500000000000000000e+00,8.643835420249330070e+01
1.750000000000000000e+00,1.008434852831234991e+02
2.000000000000000000e+00,1.152483551866567808e+02
2.250000000000000000e+00,1.295013965045828854e+02
2.500000000000000000e+00,1.437500442237845846e+02
2.750000000000000000e+00,1.579929863561955301e+02
3.000000000000000000e+00,1.722312400914951809e+02
3.250000000000000000e+00,1.864646545099340358e+02
3.500000000000000000e+00,2.006919816203692903e+02
3.750000000000000000e+00,2.149133918390344036e+02
4.000000000000000000e+00,2.291270898970013548e+02
3.750000000000000000e+00,2.147258433344276227e+02
3.500000000000000000e+00,2.003232138474022008e+02
3.250000000000000000e+00,1.859197495786547734e+02
3.000000000000000000e+00,1.715154065237254315e+02
2.750000000000000000e+00,1.571105912639152109e+02
2.500000000000000000e+00,1.427055166506316937e+02
2.250000000000000000e+00,1.283001071384688316e+02
2.000000000000000000e+00,1.138946653529065287e+02
1.750000000000000000e+00,9.948911198280305257e+01
1.500000000000000000e+00,8.508358188778755959e+01
1.250000000000000000e+00,7.067814813265698604e+01
1.000000000000000000e+00,5.627255136690710913e+01
7.500000000000000000e-01,4.186695701174309647e+01
5.000000000000000000e-01,2.746138643514417410e+01
2.500000000000000000e-01,1.305561202843014890e+01
0.000000000000000000e+00,-1.349982836026662802e+00
-2.500000000000000000e-01,-1.575577932490628008e+01
-5.000000000000000000e-01,-3.016113854505044145e+01
-7.500000000000000000e-01,-4.456580824574916022e+01
-1.000000000000000000e+00,-5.896901226663892714e+01
-1.250000000000000000e+00,-7.337149014895840082e+01
-1.500000000000000000e+00,-8.777243403294964708e+01
-1.750000000000000000e+00,-1.021727637652372778e+02
-2.000000000000000000e+00,-1.165655159377662642e+02
-2.250000000000000000e+00,-1.308144024865356698e+02
-2.500000000000000000e+00,-1.450611242869586874e+02
-2.750000000000000000e+00,-1.593010394290534464e+02
-3.000000000000000000e+00,-1.735365148869434790e+02
-3.250000000000000000e+00,-1.877681762077109795e+02
-3.500000000000000000e+00,-2.019925918058439720e+02
-3.750000000000000000e+00,-2.162102532825094841e+02
-4.000000000000000000e+00,-2.304225064779276408e+02
-3.750000000000000000e+00,-2.160210845931457300e+02
-3.500000000000000000e+00,-2.016187191320377678e+02
-3.250000000000000000e+00,-1.872153679679102254e+02
-3.000000000000000000e+00,-1.728112083901207257e+02
-2.750000000000000000e+00,-1.584065664527863930e+02
-2.500000000000000000e+00,-1.440016744265780630e+02
-2.250000000000000000e+00,-1.295966014567449065e+02
-2.000000000000000000e+00,-1.151915414175168166e+02
-1.750000000000000000e+00,-1.007864790443502443e+02
-1.500000000000000000e+00,-8.638181794805929314e+01
-1.250000000000000000e+00,-7.197722347239090368e+01
-1.000000000000000000e+00,-5.757277120598326547e+01
-7.500000000000000000e-01,-4.316863725867735013e+01
-5.000000000000000000e-01,-2.876415364417350773e+01
-2.500000000000000000e-01,-1.435947084896507953e+01
0.000000000000000000e+00,4.512058776364187562e-02
2.500000000000000000e-01,1.444923387555214056e+01
5.000000000000000000e-01,2.885338978074092964e+01
7.500000000000000000e-01,4.325662516055027851e+01
1.000000000000000000e+00,5.765923425221190257e+01
1.250000000000000000e+00,7.206129760940358153e+01
1.500000000000000000e+00,8.646089500702193220e+01
1.750000000000000000e+00,1.008615079461409039e+02
2.000000000000000000e+00,1.152612915151033945e+02
2.250000000000000000e+00,1.296604370902743710e+02
2.500000000000000000e+00,1.440602087208552291e+02
2.750000000000000000e+00,1.584570488331762874e+02
3.000000000000000000e+00,1.728554826620185167e+02
3.250000000000000000e+00,1.872551337242775560e+02
3.500000000000000000e+00,2.016507755712468111e+02
3.750000000000000000e+00,2.160453365412064386e+02
4.000000000000000000e+00,2.304258153554749811e+02
3.750000000000000000e+00,2.160246381451057687e+02
3.500000000000000000e+00,2.016221725405728762e+02
3.250000000000000000e+00,1.872189502354865738e+02
3.000000000000000000e+00,1.728149098438146041e+02
2.750000000000000000e+00,1.584104513446735041e+02
2.500000000000000000e+00,1.440058240304576600e+02
2.250000000000000000e+00,1.296009353031106741e+02
2.000000000000000000e+00,1.151961009159891631e+02
1.750000000000000000e+00,1.007912628169509333e+02
1.500000000000000000e+00,8.638652295127944569e+01
1.250000000000000000e+00,7.198199656954382419e+01
1.000000000000000000e+00,5.757739851769323280e+01
7.500000000000000000e-01,4.317288114752635408e+01
5.000000000000000000e-01,2.876846738657259550e+01
2.500000000000000000e-01,1.436384441669621026e+01
