Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000000e+00,1.158940629662021422e+02,1.142857142857142856e-02,5.794703148310107110e+01
-2.000000000000000000e+00,-1.169135137594039975e+02,-1.142857142857142856e-02,5.845675687970199874e+01
2.000000000000000000e+00,1.169150735471843063e+02,1.142857142857142856e-02,5.845753677359215317e+01
-2.000000000000000000e+00,-1.169204448812414370e+02,-1.142857142857142856e-02,5.846022244062071849e+01
2.000000000000000000e+00,1.169151821750486704e+02,1.142857142857142856e-02,5.845759108752433519e+01
-2.000000000000000000e+00,-1.169204464016491016e+02,-1.142857142857142856e-02,5.846022320082455082e+01
4.000000000000000000e+00,2.324992777312148746e+02,2.285714285714285712e-02,5.812481943280371866e+01
-4.000000000000000000e+00,-2.337670160444181988e+02,-2.285714285714285712e-02,5.844175401110454970e+01
4.000000000000000000e+00,2.337679528344398818e+02,2.285714285714285712e-02,5.844198820860997046e+01
-4.000000000000000000e+00,-2.337766821837816735e+02,-2.285714285714285712e-02,5.844417054594541838e+01
4.000000000000000000e+00,2.337681085983181504e+02,2.285714285714285712e-02,5.844202714957953759e+01
-4.000000000000000000e+00,-2.337766845452948132e+02,-2.285714285714285712e-02,5.844417113632370331e+01
8.000000000000000000e+00,4.627134124113457005e+02,4.571428571428571425e-02,5.783917655141821257e+01
-8.000000000000000000e+00,-4.656161712751542154e+02,-4.571428571428571425e-02,5.820202140939427693e+01
8.000000000000000000e+00,4.657643953479438892e+02,4.571428571428571425e-02,5.822054941849298615e+01
-8.000000000000000000e+00,-4.656445982140482442e+02,-4.571428571428571425e-02,5.820557477675603053e+01
8.000000000000000000e+00,4.657648853005233036e+02,4.571428571428571425e-02,5.822061066256541295e+01
-8.000000000000000000e+00,-4.656446071241282425e+02,-4.571428571428571425e-02,5.820557589051603031e+01
1.210000000000000320e+01,6.916317968456089602e+02,6.914285714285715867e-02,5.715965263186849654e+01
-1.190000000000000746e+01,-6.842206371555516853e+02,-6.800000000000003264e-02,5.749753253407993725e+01
1.210000000000000320e+01,6.946963454694188158e+02,6.914285714285715867e-02,5.741292111317509494e+01
-1.190000000000000746e+01,-6.842501124808716213e+02,-6.800000000000003264e-02,5.750000945217404791e+01
1.210000000000000320e+01,6.946968594486307893e+02,6.914285714285715867e-02,5.741296359079591838e+01
-1.190000000000000746e+01,-6.842501241842724085e+02,-6.800000000000003264e-02,5.750001043565310965e+01
1.610000000000000853e+01,8.986349634393162660e+02,9.200000000000004008e-02,5.581583623846682229e+01
-1.590000000000001101e+01,-8.921159332446660528e+02,-9.085714285714291405e-02,5.610792032985317235e+01
1.610000000000000853e+01,9.013002137536611826e+02,9.200000000000004008e-02,5.598137973625221520e+01
-1.590000000000001101e+01,-8.921403152026654197e+02,-9.085714285714291405e-02,5.610945378633112313e+01
1.610000000000000853e+01,9.013006434471857347e+02,9.200000000000004008e-02,5.598140642529101285e+01
-1.590000000000001101e+01,-8.921403276356975312e+02,-9.085714285714291405e-02,5.610945456828282119e+01
2.009999999999998721e+01,1.082417866616192896e+03,1.148571428571427827e-01,5.385163515503450782e+01
-1.990000000000001279e+01,-1.076527953205930999e+03,-1.137142857142857816e-01,5.409688207064976240e+01
2.009999999999998721e+01,1.084202980846926266e+03,1.148571428571427827e-01,5.394044680830482719e+01
-1.990000000000001279e+01,-1.076538711543528507e+03,-1.137142857142857816e-01,5.409742269062953568e+01
2.009999999999998721e+01,1.084203098782546476e+03,1.148571428571427827e-01,5.394045267574861668e+01
-1.990000000000001279e+01,-1.076538525042869423e+03,-1.137142857142857816e-01,5.409741331873712511e+01
3.034999999999998721e+01,1.451135555748307524e+03,1.734285714285713487e-01,4.781336262762135192e+01
-2.965000000000001279e+01,-1.431884041078582868e+03,-1.694285714285715116e-01,4.829288502794543803e+01
3.034999999999998721e+01,1.451117669523789800e+03,1.734285714285713487e-01,4.781277329567678436e+01
-2.965000000000001279e+01,-1.431445714390134981e+03,-1.694285714285715116e-01,4.827810166577181406e+01
3.034999999999998721e+01,1.450898412545696374e+03,1.734285714285713487e-01,4.780554901303779047e+01
-2.965000000000001279e+01,-1.431238720293422148e+03,-1.694285714285715116e-01,4.827112041461792558e+01
4.034999999999998721e+01,1.729311709811032188e+03,2.305714285714285106e-01,4.285778710808011738e+01
-3.965000000000001279e+01,-1.713091777348035976e+03,-2.265714285714286180e-01,4.320534116892901721e+01
4.034999999999998721e+01,1.724926754430550318e+03,2.305714285714285106e-01,4.274911411228131186e+01
-3.965000000000001279e+01,-1.710578200394632404e+03,-2.265714285714286180e-01,4.314194704652287271e+01
4.034999999999998721e+01,1.723481984954381232e+03,2.305714285714285106e-01,4.271330817730810026e+01
-3.965000000000001279e+01,-1.709281356208071884e+03,-2.265714285714286180e-01,4.310923975304088884e+01
5.034999999999998721e+01,1.965808427083046581e+03,2.877142857142856447e-01,3.904286846242397502e+01
-4.965000000000001279e+01,-1.953802153158810597e+03,-2.837142857142858077e-01,3.935150358829426409e+01
5.034999999999998721e+01,1.958926473329848022e+03,2.877142857142856447e-01,3.890618616345280145e+01
-4.965000000000001279e+01,-1.948084560218381512e+03,-2.837142857142858077e-01,3.923634562373375445e+01
5.034999999999998721e+01,1.956115079440298359e+03,2.877142857142856447e-01,3.885034914479243184e+01
-4.965000000000001279e+01,-1.945380437804299845e+03,-2.837142857142858077e-01,3.918188192959313909e+01
5.984999999999998721e+01,2.155433523609943677e+03,3.419999999999999707e-01,3.601392687735913256e+01
-6.015000000000001279e+01,-2.167834998080840705e+03,-3.437142857142858055e-01,3.604048209610706976e+01
5.984999999999998721e+01,2.144426996982014771e+03,3.419999999999999707e-01,3.583002501223083414e+01
-6.015000000000001279e+01,-2.156507715008682680e+03,-3.437142857142858055e-01,3.585216483804958187e+01
5.984999999999998721e+01,2.141068320227505865e+03,3.419999999999999707e-01,3.577390677071856828e+01
-6.015000000000001279e+01,-2.153329129797004498e+03,-3.437142857142858055e-01,3.579932052862849901e+01
6.934999999999999432e+01,2.322433976052488561e+03,3.962857142857141857e-01,3.348859374264583977e+01
-7.065000000000000568e+01,-2.352899798997048947e+03,-4.037142857142856922e-01,3.330360649677351148e+01
6.934999999999999432e+01,2.308075548579211045e+03,3.962857142857141857e-01,3.328155080864038950e+01
-7.065000000000000568e+01,-2.337962318427765240e+03,-4.037142857142856922e-01,3.309217718935265395e+01
6.934999999999999432e+01,2.302277944443405431e+03,3.962857142857141857e-01,3.319795161418032592e+01
