Displacement_mm,BaseShear_kN
2.500000000000000000e-01,1.450079986813432420e+01
5.000000000000000000e-01,2.899775013162514270e+01
7.500000000000000000e-01,4.349080532915168362e+01
1.000000000000000000e+00,5.797987780189478002e+01
1.250000000000000000e+00,7.246487485313969046e+01
1.500000000000000000e+00,8.694564832643702346e+01
1.750000000000000000e+00,1.014221152007024784e+02
2.000000000000000000e+00,1.158940629662021422e+02
1.750000000000000000e+00,1.012785358891201781e+02
1.500000000000000000e+00,8.666302987477307340e+01
1.250000000000000000e+00,7.204754845235186167e+01
1.000000000000000000e+00,5.743208277831411834e+01
7.500000000000000000e-01,4.281663882067908844e+01
5.000000000000000000e-01,2.820121641514340638e+01
2.500000000000000000e-01,1.358579907546041632e+01
0.000000000000000000e+00,-1.023998689328730505e+00
-2.500000000000000000e-01,-1.552487926016880593e+01
-5.000000000000000000e-01,-3.002169263011887068e+01
-7.500000000000000000e-01,-4.451452652797784992e+01
-1.000000000000000000e+00,-5.900318317028138893e+01
-1.250000000000000000e+00,-7.348756704449812105e+01
-1.500000000000000000e+00,-8.796741262532724193e+01
-1.750000000000000000e+00,-1.024426017526535020e+02
-2.000000000000000000e+00,-1.169135137594039975e+02
-1.750000000000000000e+00,-1.022980288798561759e+02
-1.500000000000000000e+00,-8.768264303538056481e+01
-1.250000000000000000e+00,-7.306738577570466475e+01
-1.000000000000000000e+00,-5.845222863287182946e+01
-7.500000000000000000e-01,-4.383715682649852852e+01
-5.000000000000000000e-01,-2.922214072596274903e+01
-2.500000000000000000e-01,-1.460714658710634062e+01
0.000000000000000000e+00,7.857794157661487575e-03
2.500000000000000000e-01,1.462278782348601425e+01
5.000000000000000000e-01,2.923771141733141832e+01
7.500000000000000000e-01,4.385238089080676360e+01
1.000000000000000000e+00,5.846694732742111000e+01
1.250000000000000000e+00,7.308120960241436137e+01
1.500000000000000000e+00,8.769485988322014691e+01
1.750000000000000000e+00,1.023087766022527205e+02
2.000000000000000000e+00,1.169150735471843063e+02
1.750000000000000000e+00,1.022995872444693077e+02
1.500000000000000000e+00,8.768418711482520678e+01
1.250000000000000000e+00,7.306888604783121366e+01
1.000000000000000000e+00,5.845366729187439603e+01
7.500000000000000000e-01,4.383850169815683984e+01
5.000000000000000000e-01,2.922339343770716980e+01
2.500000000000000000e-01,1.460828839682169722e+01
0.000000000000000000e+00,-6.788121614661804352e-03
-2.500000000000000000e-01,-1.462186667767223192e+01
-5.000000000000000000e-01,-2.923681202895752662e+01
-7.500000000000000000e-01,-4.385153964030765650e+01
-1.000000000000000000e+00,-5.846596363186488077e+01
-1.250000000000000000e+00,-7.308007738025210642e+01
-1.500000000000000000e+00,-8.769378454054492522e+01
-1.750000000000000000e+00,-1.023070783984798453e+02
-2.000000000000000000e+00,-1.169204448812414370e+02
-1.750000000000000000e+00,-1.023049616405385649e+02
-1.500000000000000000e+00,-8.768957675849071620e+01
-1.250000000000000000e+00,-7.307432127799106070e+01
-1.000000000000000000e+00,-5.845916648967760665e+01
-7.500000000000000000e-01,-4.384409748341738577e+01
-5.000000000000000000e-01,-2.922908451188712675e+01
-2.500000000000000000e-01,-1.461409368368249417e+01
0.000000000000000000e+00,9.073686186143277085e-04
2.500000000000000000e-01,1.461583396065926621e+01
5.000000000000000000e-01,2.923075326358826942e+01
7.500000000000000000e-01,4.384541965506564765e+01
1.000000000000000000e+00,5.845998333507872502e+01
1.250000000000000000e+00,7.307424483722181208e+01
1.500000000000000000e+00,8.768789816843390383e+01
1.750000000000000000e+00,1.023018293831939189e+02
2.000000000000000000e+00,1.169151821750486704e+02
1.750000000000000000e+00,1.022996953629726562e+02
1.500000000000000000e+00,8.768429524468828618e+01
1.250000000000000000e+00,7.306899415433932177e+01
1.000000000000000000e+00,5.845377541208776506e+01
7.500000000000000000e-01,4.383860983009233081e+01
5.000000000000000000e-01,2.922350158254872454e+01
2.500000000000000000e-01,1.460839655522840275e+01
0.000000000000000000e+00,-6.679949275948615650e-03
-2.500000000000000000e-01,-1.462175849113886805e+01
-5.000000000000000000e-01,-2.923670383768417125e+01
-7.500000000000000000e-01,-4.385143142411814665e+01
-1.000000000000000000e+00,-5.846585541485951154e+01
-1.250000000000000000e+00,-7.307996914319970472e+01
