Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000000e+00,1.211443230209940936e+02,1.142857142857142856e-02,6.057216151049704678e+01
-2.000000000000000000e+00,-1.220456697837691706e+02,-1.142857142857142856e-02,6.102283489188458532e+01
2.000000000000000000e+00,1.220442098522091783e+02,1.142857142857142856e-02,6.102210492610458914e+01
-2.000000000000000000e+00,-1.220510884241462151e+02,-1.142857142857142856e-02,6.102554421207310753e+01
2.000000000000000000e+00,1.220442810345194431e+02,1.142857142857142856e-02,6.102214051725972155e+01
-2.000000000000000000e+00,-1.220510889874919371e+02,-1.142857142857142856e-02,6.102554449374596857e+01
4.000000000000000000e+00,2.428695610234088633e+02,2.285714285714285712e-02,6.071739025585221583e+01
-4.000000000000000000e+00,-2.440288244941130245e+02,-2.285714285714285712e-02,6.100720612352825611e+01
4.000000000000000000e+00,2.440247968108423606e+02,2.285714285714285712e-02,6.100619920271059016e+01
-4.000000000000000000e+00,-2.440367307881068086e+02,-2.285714285714285712e-02,6.100918269702670216e+01
4.000000000000000000e+00,2.440249013831800085e+02,2.285714285714285712e-02,6.100622534579500211e+01
-4.000000000000000000e+00,-2.440367275329542451e+02,-2.285714285714285712e-02,6.100918188323856128e+01
8.000000000000000000e+00,4.835755539000745102e+02,4.571428571428571425e-02,6.044694423750931378e+01
-8.000000000000000000e+00,-4.862786717372071621e+02,-4.571428571428571425e-02,6.078483396715089526e+01
8.000000000000000000e+00,4.864325930527852506e+02,4.571428571428571425e-02,6.080407413159815633e+01
-8.000000000000000000e+00,-4.863024112812500448e+02,-4.571428571428571425e-02,6.078780141015625560e+01
8.000000000000000000e+00,4.864329371759555443e+02,4.571428571428571425e-02,6.080411714699444303e+01
-8.000000000000000000e+00,-4.863024159516292002e+02,-4.571428571428571425e-02,6.078780199395365003e+01
1.210000000000000320e+01,7.228636296608684688e+02,6.914285714285715867e-02,5.974079583974118179e+01
-1.190000000000000746e+01,-7.146802468344749286e+02,-6.800000000000003264e-02,6.005716359953567007e+01
1.210000000000000320e+01,7.257668754914154761e+02,6.914285714285715867e-02,5.998073351168721246e+01
-1.190000000000000746e+01,-7.147050252549366860e+02,-6.800000000000003264e-02,6.005924581974254295e+01
1.210000000000000320e+01,7.257672447780354332e+02,6.914285714285715867e-02,5.998076403124257894e+01
-1.190000000000000746e+01,-7.147050312558593532e+02,-6.800000000000003264e-02,6.005924632402175689e+01
1.610000000000000853e+01,9.394916052401225670e+02,9.200000000000004008e-02,5.835351585342372971e+01
-1.590000000000001101e+01,-9.319627286901495609e+02,-9.085714285714291405e-02,5.861400809372005938e+01
1.610000000000000853e+01,9.420612339297885001e+02,9.200000000000004008e-02,5.851312011986260586e+01
-1.590000000000001101e+01,-9.319828797620167506e+02,-9.085714285714291405e-02,5.861527545673057205e+01
1.610000000000000853e+01,9.420615380256032267e+02,9.200000000000004008e-02,5.851313900780141353e+01
-1.590000000000001101e+01,-9.319828422659286389e+02,-9.085714285714291405e-02,5.861527309848603551e+01
2.009999999999998721e+01,1.133693023119186819e+03,1.148571428571427827e-01,5.640263796612873648e+01
-1.990000000000001279e+01,-1.126693830414994181e+03,-1.137142857142857816e-01,5.661778042286399426e+01
2.009999999999998721e+01,1.135482444947902877e+03,1.148571428571427827e-01,5.649166392775639878e+01
-1.990000000000001279e+01,-1.126699230956281554e+03,-1.137142857142857816e-01,5.661805180684828542e+01
2.009999999999998721e+01,1.135482293217658025e+03,1.148571428571427827e-01,5.649165637898799730e+01
-1.990000000000001279e+01,-1.126698096661734553e+03,-1.137142857142857816e-01,5.661799480712230093e+01
3.034999999999998721e+01,1.535418765610074388e+03,1.734285714285713487e-01,5.059040413871746722e+01
-2.965000000000001279e+01,-1.512769967431815076e+03,-1.694285714285715116e-01,5.102090952552493519e+01
3.034999999999998721e+01,1.535100723590024700e+03,1.734285714285713487e-01,5.057992499472900505e+01
-2.965000000000001279e+01,-1.511902439541939657e+03,-1.694285714285715116e-01,5.099165057477028995e+01
3.034999999999998721e+01,1.534564603841284452e+03,1.734285714285713487e-01,5.056226042310659352e+01
-2.965000000000001279e+01,-1.511500258930955169e+03,-1.694285714285715116e-01,5.097808630458531098e+01
4.034999999999998721e+01,1.850493995103023735e+03,2.305714285714285106e-01,4.586106555397829965e+01
-3.965000000000001279e+01,-1.832552818342410546e+03,-2.265714285714286180e-01,4.621822997080479212e+01
4.034999999999998721e+01,1.845202398235091550e+03,2.305714285714285106e-01,4.572992312850290375e+01
-3.965000000000001279e+01,-1.827961572907121763e+03,-2.265714285714286180e-01,4.610243563447972548e+01
4.034999999999998721e+01,1.842840208423636341e+03,2.305714285714285106e-01,4.567138063007774207e+01
-3.965000000000001279e+01,-1.825749845517663971e+03,-2.265714285714286180e-01,4.604665436362328990e+01
