Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000000e+00,1.295596831392740000e+02,1.142857142857142856e-02,6.477984156963700002e+01
-2.000000000000000000e+00,-1.304104198700823645e+02,-1.142857142857142856e-02,6.520520993504118223e+01
2.000000000000000000e+00,1.304075144884159272e+02,1.142857142857142856e-02,6.520375724420796359e+01
-2.000000000000000000e+00,-1.304150385558974676e+02,-1.142857142857142856e-02,6.520751927794873382e+01
2.000000000000000000e+00,1.304075670249679035e+02,1.142857142857142856e-02,6.520378351248395177e+01
-2.000000000000000000e+00,-1.304150392121830748e+02,-1.142857142857142856e-02,6.520751960609153741e+01
4.000000000000000000e+00,2.596172380079107143e+02,2.285714285714285712e-02,6.490430950197767856e+01
-4.000000000000000000e+00,-2.607486708571996701e+02,-2.285714285714285712e-02,6.518716771429991752e+01
4.000000000000000000e+00,2.607413148190900074e+02,2.285714285714285712e-02,6.518532870477250185e+01
-4.000000000000000000e+00,-2.607556151893617766e+02,-2.285714285714285712e-02,6.518890379734044416e+01
4.000000000000000000e+00,2.607414020962845598e+02,2.285714285714285712e-02,6.518535052407113994e+01
-4.000000000000000000e+00,-2.607556162219727867e+02,-2.285714285714285712e-02,6.518890405549319667e+01
8.000000000000000000e+00,5.168285728696927208e+02,4.571428571428571425e-02,6.460357160871159010e+01
-8.000000000000000000e+00,-5.195031880326198461e+02,-4.571428571428571425e-02,6.493789850407748077e+01
8.000000000000000000e+00,5.196608027787094670e+02,4.571428571428571425e-02,6.495760034733868338e+01
-8.000000000000000000e+00,-5.195246356489195705e+02,-4.571428571428571425e-02,6.494057945611494631e+01
8.000000000000000000e+00,5.196610927403748974e+02,4.571428571428571425e-02,6.495763659254686218e+01
-8.000000000000000000e+00,-5.195246393300016052e+02,-4.571428571428571425e-02,6.494057991625020065e+01
1.210000000000000320e+01,7.716697211846611708e+02,6.914285714285715867e-02,6.377435712269925006e+01
-1.190000000000000746e+01,-7.626758875442674253e+02,-6.800000000000003264e-02,6.409041071800562861e+01
1.210000000000000320e+01,7.745287023154169219e+02,6.914285714285715867e-02,6.401063655499311267e+01
-1.190000000000000746e+01,-7.626981550715630647e+02,-6.800000000000003264e-02,6.409228193878676905e+01
1.210000000000000320e+01,7.745290006152696378e+02,6.914285714285715867e-02,6.401066120787351110e+01
-1.190000000000000746e+01,-7.626981263838308678e+02,-6.800000000000003264e-02,6.409227952805296979e+01
1.610000000000000853e+01,1.001417990330846123e+03,9.200000000000004008e-02,6.219987517582892167e+01
-1.590000000000001101e+01,-9.932640297104749152e+02,-9.085714285714291405e-02,6.246943583084743778e+01
1.610000000000000853e+01,1.003917704101846766e+03,9.200000000000004008e-02,6.235513690073579340e+01
-1.590000000000001101e+01,-9.932818903886424096e+02,-9.085714285714291405e-02,6.247055914393973097e+01
1.610000000000000853e+01,1.003917959327567132e+03,9.200000000000004008e-02,6.235515275326500273e+01
-1.590000000000001101e+01,-9.932818752467716195e+02,-9.085714285714291405e-02,6.247055819162081036e+01
2.009999999999998721e+01,1.208507061618595571e+03,1.148571428571427827e-01,6.012472943376101142e+01
-1.990000000000001279e+01,-1.200946339275792980e+03,-1.137142857142857816e-01,6.034906227516543709e+01
2.009999999999998721e+01,1.210324803289325018e+03,1.148571428571427827e-01,6.021516434275253005e+01
-1.990000000000001279e+01,-1.200955630280444666e+03,-1.137142857142857816e-01,6.034952915982130150e+01
2.009999999999998721e+01,1.210324932367296924e+03,1.148571428571427827e-01,6.021517076454217232e+01
-1.990000000000001279e+01,-1.200955626442163066e+03,-1.137142857142857816e-01,6.034952896694282742e+01
3.034999999999998721e+01,1.650979018480401237e+03,1.734285714285713487e-01,5.439799072423070925e+01
-2.965000000000001279e+01,-1.626477708352421132e+03,-1.694285714285715116e-01,5.485590921930591435e+01
3.034999999999998721e+01,1.651699441417360276e+03,1.734285714285713487e-01,5.442172788854566789e+01
-2.965000000000001279e+01,-1.626247464965772679e+03,-1.694285714285715116e-01,5.484814384370226037e+01
3.034999999999998721e+01,1.651637808456874609e+03,1.734285714285713487e-01,5.441969714849671647e+01
-2.965000000000001279e+01,-1.626179577363201133e+03,-1.694285714285715116e-01,5.484585421123778559e+01
4.034999999999998721e+01,1.993388635826328937e+03,2.305714285714285106e-01,4.940244450622873984e+01
-3.965000000000001279e+01,-1.971003957931688092e+03,-2.265714285714286180e-01,4.971006199071090492e+01
4.034999999999998721e+01,1.987707333076902842e+03,2.305714285714285106e-01,4.926164394242635325e+01
-3.965000000000001279e+01,-1.966887621526301928e+03,-2.265714285714286180e-01,4.960624518351327339e+01
4.034999999999998721e+01,1.986478664524472151e+03,2.305714285714285106e-01,4.923119366851233991e+01
-3.965000000000001279e+01,-1.965959100737395829e+03,-2.265714285714286180e-01,4.958282725693304371e+01
5.034999999999998721e+01,2.252605739410494152e+03,2.877142857142856447e-01,4.473894219285987361e+01
-4.965000000000001279e+01,-2.235072423884128966e+03,-2.837142857142858077e-01,4.501656442868335262e+01
5.034999999999998721e+01,2.229686312644123973e+03,2.877142857142856447e-01,4.428374007237585630e+01
-4.965000000000001279e+01,-2.215897696862969042e+03,-2.837142857142858077e-01,4.463036650277881989e+01
5.034999999999998721e+01,2.223387308648009366e+03,2.877142857142856447e-01,4.415863572289990202e+01
-4.965000000000001279e+01,-2.208602297284161523e+03,-2.837142857142858077e-01,4.448342995537081634e+01
5.984999999999998721e+01,2.448221547802280384e+03,3.419999999999999707e-01,4.090595735676325972e+01
-6.015000000000001279e+01,-2.453209137362535785e+03,-3.437142857142858055e-01,4.078485681400723450e+01
5.984999999999998721e+01,2.420797874730803869e+03,3.419999999999999707e-01,4.044775062206857541e+01
-6.015000000000001279e+01,-2.431882805028852090e+03,-3.437142857142858055e-01,4.043030432300667343e+01
5.984999999999998721e+01,2.410881891525502397e+03,3.419999999999999707e-01,4.028207003384299156e+01
-6.015000000000001279e+01,-2.423754882850359536e+03,-3.437142857142858055e-01,4.029517677224204419e+01
6.934999999999999432e+01,2.569630966746387003e+03,3.962857142857141857e-01,3.705307810737400587e+01
-7.065000000000000568e+01,-2.597737522516340050e+03,-4.037142857142856922e-01,3.676910859895739492e+01
6.934999999999999432e+01,2.535794671053698039e+03,3.962857142857141857e-01,3.656517189695311032e+01
-7.065000000000000568e+01,-2.566025158045386434e+03,-4.037142857142856922e-01,3.632024285980730838e+01
6.934999999999999432e+01,2.524239726385993890e+03,3.962857142857141857e-01,3.639855409352551163e+01
-7.065000000000000568e+01,-2.553895056387736076e+03,-4.037142857142856922e-01,3.614854998425670374e+01
7.934999999999999432e+01,2.677153812210444812e+03,4.534285714285714031e-01,3.373854835803963681e+01
-8.065000000000000568e+01,-2.696274149065196070e+03,-4.608571428571429096e-01,3.343179354079597942e+01
7.934999999999999432e+01,2.632484258943127770e+03,4.534285714285714031e-01,3.317560502763866026e+01
-8.065000000000000568e+01,-2.656708367295232165e+03,-4.608571428571429096e-01,3.294120728202395298e+01
7.934999999999999432e+01,2.616853987506732665e+03,4.534285714285714031e-01,3.297862618155932779e+01
-8.065000000000000568e+01,-2.642614291935201436e+03,-4.608571428571429096e-01,3.276645123292252038e+01
9.034999999999999432e+01,2.752661482566124050e+03,5.162857142857142367e-01,3.046664618224819421e+01
-8.965000000000000568e+01,-2.751580894088396690e+03,-5.122857142857143442e-01,3.069248069256437716e+01
9.034999999999999432e+01,2.698839112466470851e+03,5.162857142857142367e-01,2.987093649658518046e+01
-8.965000000000000568e+01,-2.709105292515442670e+03,-5.122857142857143442e-01,3.021868703307799819e+01
9.034999999999999432e+01,2.681833744686900900e+03,5.162857142857142367e-01,2.968271991905811902e+01
-8.965000000000000568e+01,-2.694066918318622356e+03,-5.122857142857143442e-01,3.005094164326404993e+01
1.003499999999999943e+02,2.778234422878441819e+03,5.734285714285713986e-01,2.768544517068701438e+01
-9.965000000000000568e+01,-2.790900144034097593e+03,-5.694285714285713951e-01,2.800702603145105130e+01
1.003499999999999943e+02,2.729544825302073605e+03,5.734285714285713986e-01,2.720024738716565693e+01
-9.965000000000000568e+01,-2.746715635817229668e+03,-5.694285714285713951e-01,2.756362905988188317e+01
1.003499999999999943e+02,2.716242710530164004e+03,5.734285714285713986e-01,2.706769018963790785e+01
-9.965000000000000568e+01,-2.733292603383833466e+03,-5.694285714285713951e-01,2.742892727931593910e+01
