Displacement_mm,BaseShear_kN
2.500000000000000000e-01,1.621053648801317593e+01
5.000000000000000000e-01,3.241693119945907142e+01
7.500000000000000000e-01,4.861907398439259254e+01
1.000000000000000000e+00,6.481681953709015431e+01
1.250000000000000000e+00,8.100995717582024724e+01
1.500000000000000000e+00,9.719826069332538054e+01
1.750000000000000000e+00,1.133815895033421413e+02
2.000000000000000000e+00,1.295596831392740000e+02
1.750000000000000000e+00,1.132570062829533128e+02
1.500000000000000000e+00,9.695435725474089850e+01
1.250000000000000000e+00,8.065174538318368036e+01
1.000000000000000000e+00,6.434917428980780585e+01
7.500000000000000000e-01,4.804663911519456576e+01
5.000000000000000000e-01,3.174411608066601431e+01
2.500000000000000000e-01,1.544165070626446656e+01
0.000000000000000000e+00,-8.572826401844879651e-01
-2.500000000000000000e-01,-1.706797361156996118e+01
-5.000000000000000000e-01,-3.327427503037328904e+01
-7.500000000000000000e-01,-4.947594478289647668e+01
-1.000000000000000000e+00,-6.567291169024547060e+01
-1.250000000000000000e+00,-8.186457684834788040e+01
-1.500000000000000000e+00,-9.805154358743476450e+01
-1.750000000000000000e+00,-1.142339908329866915e+02
-2.000000000000000000e+00,-1.304104198700823645e+02
-1.750000000000000000e+00,-1.141078076609454399e+02
-1.500000000000000000e+00,-9.780531265355925541e+01
-1.250000000000000000e+00,-8.150297812850759271e+01
-1.000000000000000000e+00,-6.520082610977087256e+01
-7.500000000000000000e-01,-4.889885971695628797e+01
-5.000000000000000000e-01,-3.259704322135365118e+01
-2.500000000000000000e-01,-1.629525256435470837e+01
0.000000000000000000e+00,6.568026358557630881e-03
2.500000000000000000e-01,1.630831017785669346e+01
5.000000000000000000e-01,3.260979593741863169e+01
7.500000000000000000e-01,4.891112920169766909e+01
1.000000000000000000e+00,6.521181087020181621e+01
1.250000000000000000e+00,8.151232277421344463e+01
1.500000000000000000e+00,9.781198885345123983e+01
1.750000000000000000e+00,1.141125575850435467e+02
2.000000000000000000e+00,1.304075144884159272e+02
1.750000000000000000e+00,1.141048758455964105e+02
1.500000000000000000e+00,9.780235518407263839e+01
1.250000000000000000e+00,8.149997431633525480e+01
1.000000000000000000e+00,6.519774064793828927e+01
7.500000000000000000e-01,4.889564086914564456e+01
5.000000000000000000e-01,3.259361216519322113e+01
2.500000000000000000e-01,1.629167722785895123e+01
0.000000000000000000e+00,-1.026555021025160434e-02
-2.500000000000000000e-01,-1.631223557965311954e+01
-5.000000000000000000e-01,-3.261386128073635859e+01
-7.500000000000000000e-01,-4.891494491554178126e+01
-1.000000000000000000e+00,-6.521554834903029985e+01
-1.250000000000000000e+00,-8.151535523852901122e+01
-1.500000000000000000e+00,-9.781519187818190630e+01
-1.750000000000000000e+00,-1.141155767274318293e+02
-2.000000000000000000e+00,-1.304150385558974676e+02
-1.750000000000000000e+00,-1.141124274617121728e+02
-1.500000000000000000e+00,-9.780993331137212010e+01
-1.250000000000000000e+00,-8.150760030478686247e+01
-1.000000000000000000e+00,-6.520545067127680738e+01
-7.500000000000000000e-01,-4.890348738046026256e+01
-5.000000000000000000e-01,-3.260167457046009787e+01
-2.500000000000000000e-01,-1.629988791114640279e+01
0.000000000000000000e+00,1.928851447346346471e-03
2.500000000000000000e-01,1.630366677788444463e+01
5.000000000000000000e-01,3.260514852867509461e+01
7.500000000000000000e-01,4.890647799996808942e+01
1.000000000000000000e+00,6.520715602551274515e+01
1.250000000000000000e+00,8.150766413678236688e+01
1.500000000000000000e+00,9.780732816576450261e+01
1.750000000000000000e+00,1.141079009667480904e+02
2.000000000000000000e+00,1.304075670249679035e+02
1.750000000000000000e+00,1.141049326778600204e+02
1.500000000000000000e+00,9.780241219320174650e+01
1.250000000000000000e+00,8.150003136252561831e+01
1.000000000000000000e+00,6.519779771116982658e+01
7.500000000000000000e-01,4.889569794630946120e+01
5.000000000000000000e-01,3.259366925721987940e+01
2.500000000000000000e-01,1.629173433573931362e+01
0.000000000000000000e+00,-1.020842618183849006e-02
