Displacement_mm,BaseShear_kN
2.500000000000000000e-01,1.515741619610367685e+01
5.000000000000000000e-01,3.031095314839532051e+01
7.500000000000000000e-01,4.546053286403632399e+01
1.000000000000000000e+00,6.060604979195085207e+01
1.250000000000000000e+00,7.574734255989559983e+01
1.500000000000000000e+00,9.088426767345369228e+01
1.750000000000000000e+00,1.060165965980718283e+02
2.000000000000000000e+00,1.211443230209940936e+02
1.750000000000000000e+00,1.058873682519740527e+02
1.500000000000000000e+00,9.063043883440154502e+01
1.250000000000000000e+00,7.537353959418254590e+01
1.000000000000000000e+00,6.011667231076796725e+01
7.500000000000000000e-01,4.485981496259565660e+01
5.000000000000000000e-01,2.960299749051050000e+01
2.500000000000000000e-01,1.434619072566746034e+01
0.000000000000000000e+00,-9.063334603880860429e-01
-2.500000000000000000e-01,-1.606385325993154822e+01
-5.000000000000000000e-01,-3.121730753196351671e+01
-7.500000000000000000e-01,-4.636655492404322843e+01
-1.000000000000000000e+00,-6.151149557214503716e+01
-1.250000000000000000e+00,-7.665198620410966157e+01
-1.500000000000000000e+00,-9.178798423828789055e+01
-1.750000000000000000e+00,-1.069188211234808534e+02
-2.000000000000000000e+00,-1.220456697837691706e+02
-1.750000000000000000e+00,-1.067887529277193295e+02
-1.500000000000000000e+00,-9.153195993622331628e+01
-1.250000000000000000e+00,-7.627529958188009118e+01
-1.000000000000000000e+00,-6.101879346118623459e+01
-7.500000000000000000e-01,-4.576241850139678036e+01
-5.000000000000000000e-01,-3.050613445518243338e+01
-2.500000000000000000e-01,-1.524987422439243900e+01
0.000000000000000000e+00,6.385100586388716554e-03
2.500000000000000000e-01,1.526259763182153151e+01
5.000000000000000000e-01,3.051864279274992953e+01
7.500000000000000000e-01,4.577451876762516036e+01
1.000000000000000000e+00,6.103012751476961029e+01
1.250000000000000000e+00,7.628514285134069439e+01
1.500000000000000000e+00,9.154000900299303112e+01
1.750000000000000000e+00,1.067946379321653012e+02
2.000000000000000000e+00,1.220442098522091783e+02
1.750000000000000000e+00,1.067872843185534890e+02
1.500000000000000000e+00,9.153045177321240544e+01
1.250000000000000000e+00,7.627374192343530979e+01
1.000000000000000000e+00,6.101714401608659699e+01
7.500000000000000000e-01,4.576063260746524719e+01
5.000000000000000000e-01,3.050418933282249867e+01
2.500000000000000000e-01,1.524779951810230827e+01
0.000000000000000000e+00,-8.595761395953900250e-03
-2.500000000000000000e-01,-1.526498351121690433e+01
-5.000000000000000000e-01,-3.052114315025481162e+01
-7.500000000000000000e-01,-4.577690330426919019e+01
-1.000000000000000000e+00,-6.103228502999709093e+01
-1.250000000000000000e+00,-7.628725603315542969e+01
-1.500000000000000000e+00,-9.154206876813975668e+01
-1.750000000000000000e+00,-1.067962562016173393e+02
-2.000000000000000000e+00,-1.220510884241462151e+02
-1.750000000000000000e+00,-1.067941730970953387e+02
-1.500000000000000000e+00,-9.153738101390021598e+01
-1.250000000000000000e+00,-7.628072215440850812e+01
-1.000000000000000000e+00,-6.102421846922706550e+01
-7.500000000000000000e-01,-4.576784645951997987e+01
-5.000000000000000000e-01,-3.051156569188419354e+01
-2.500000000000000000e-01,-1.525530904220300421e+01
0.000000000000000000e+00,9.463460314274243926e-04
2.500000000000000000e-01,1.525715526320781024e+01
5.000000000000000000e-01,3.051319680023076586e+01
7.500000000000000000e-01,4.576906880728231641e+01
1.000000000000000000e+00,6.102467373427143116e+01
1.250000000000000000e+00,7.627968531087566362e+01
1.500000000000000000e+00,9.153454998366723316e+01
1.750000000000000000e+00,1.067891823727633920e+02
2.000000000000000000e+00,1.220442810345194431e+02
1.750000000000000000e+00,1.067873560610274808e+02
1.500000000000000000e+00,9.153052353936806185e+01
1.250000000000000000e+00,7.627381367659354794e+01
1.000000000000000000e+00,6.101721577939882479e+01
7.500000000000000000e-01,4.576070438270803464e+01
5.000000000000000000e-01,3.050426112265945733e+01
2.500000000000000000e-01,1.524787132228487074e+01
