Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm,,Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm,,Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.00E+00,1.17E+02,1.14E-02,5.87E+01,,2.00E+00,1.25E+02,1.14E-02,6.25E+01,,2.00E+00,1.43E+02,1.14E-02,7.14E+01
-2.00E+00,-1.18E+02,-1.14E-02,5.92E+01,,-2.00E+00,-1.26E+02,-1.14E-02,6.29E+01,,-2.00E+00,-1.44E+02,-1.14E-02,7.18E+01
2.00E+00,1.18E+02,1.14E-02,5.92E+01,,2.00E+00,1.26E+02,1.14E-02,6.29E+01,,2.00E+00,1.44E+02,1.14E-02,7.18E+01
-2.00E+00,-1.18E+02,-1.14E-02,5.92E+01,,-2.00E+00,-1.26E+02,-1.14E-02,6.29E+01,,-2.00E+00,-1.44E+02,-1.14E-02,7.18E+01
2.00E+00,1.18E+02,1.14E-02,5.92E+01,,2.00E+00,1.26E+02,1.14E-02,6.29E+01,,2.00E+00,1.44E+02,1.14E-02,7.18E+01
-2.00E+00,-1.18E+02,-1.14E-02,5.92E+01,,-2.00E+00,-1.26E+02,-1.14E-02,6.29E+01,,-2.00E+00,-1.44E+02,-1.14E-02,7.18E+01
4.00E+00,2.36E+02,2.29E-02,5.89E+01,,4.00E+00,2.50E+02,2.29E-02,6.26E+01,,4.00E+00,2.86E+02,2.29E-02,7.15E+01
-4.00E+00,-2.37E+02,-2.29E-02,5.92E+01,,-4.00E+00,-2.52E+02,-2.29E-02,6.29E+01,,-4.00E+00,-2.87E+02,-2.29E-02,7.17E+01
4.00E+00,2.37E+02,2.29E-02,5.92E+01,,4.00E+00,2.52E+02,2.29E-02,6.29E+01,,4.00E+00,2.87E+02,2.29E-02,7.17E+01
-4.00E+00,-2.37E+02,-2.29E-02,5.92E+01,,-4.00E+00,-2.52E+02,-2.29E-02,6.29E+01,,-4.00E+00,-2.87E+02,-2.29E-02,7.17E+01
4.00E+00,2.37E+02,2.29E-02,5.92E+01,,4.00E+00,2.52E+02,2.29E-02,6.29E+01,,4.00E+00,2.87E+02,2.29E-02,7.17E+01
-4.00E+00,-2.37E+02,-2.29E-02,5.92E+01,,-4.00E+00,-2.52E+02,-2.29E-02,6.29E+01,,-4.00E+00,-2.87E+02,-2.29E-02,7.17E+01
8.00E+00,4.69E+02,4.57E-02,5.86E+01,,8.00E+00,4.99E+02,4.57E-02,6.23E+01,,8.00E+00,5.68E+02,4.57E-02,7.10E+01
-8.00E+00,-4.72E+02,-4.57E-02,5.90E+01,,-8.00E+00,-5.01E+02,-4.57E-02,6.27E+01,,-8.00E+00,-5.71E+02,-4.57E-02,7.14E+01
8.00E+00,4.72E+02,4.57E-02,5.90E+01,,8.00E+00,5.01E+02,4.57E-02,6.27E+01,,8.00E+00,5.71E+02,4.57E-02,7.14E+01
-8.00E+00,-4.72E+02,-4.57E-02,5.90E+01,,-8.00E+00,-5.01E+02,-4.57E-02,6.27E+01,,-8.00E+00,-5.71E+02,-4.57E-02,7.14E+01
8.00E+00,4.72E+02,4.57E-02,5.90E+01,,8.00E+00,5.01E+02,4.57E-02,6.27E+01,,8.00E+00,5.71E+02,4.57E-02,7.14E+01
-8.00E+00,-4.72E+02,-4.57E-02,5.90E+01,,-8.00E+00,-5.01E+02,-4.57E-02,6.27E+01,,-8.00E+00,-5.71E+02,-4.57E-02,7.14E+01
1.21E+01,7.02E+02,6.91E-02,5.80E+01,,1.20E+01,7.36E+02,6.83E-02,6.16E+01,,1.20E+01,8.33E+02,6.83E-02,6.97E+01
-1.19E+01,-6.94E+02,-6.80E-02,5.83E+01,,-1.20E+01,-7.44E+02,-6.89E-02,6.18E+01,,-1.20E+01,-8.42E+02,-6.89E-02,6.99E+01
1.21E+01,7.05E+02,6.91E-02,5.82E+01,,1.20E+01,7.39E+02,6.83E-02,6.18E+01,,1.20E+01,8.36E+02,6.83E-02,7.00E+01
-1.19E+01,-6.94E+02,-6.80E-02,5.83E+01,,-1.20E+01,-7.44E+02,-6.89E-02,6.18E+01,,-1.20E+01,-8.42E+02,-6.89E-02,6.99E+01
1.21E+01,7.05E+02,6.91E-02,5.82E+01,,1.20E+01,7.39E+02,6.83E-02,6.18E+01,,1.20E+01,8.36E+02,6.83E-02,7.00E+01
-1.19E+01,-6.94E+02,-6.80E-02,5.83E+01,,-1.20E+01,-7.44E+02,-6.89E-02,6.18E+01,,-1.20E+01,-8.42E+02,-6.89E-02,6.99E+01
