Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000444e+00,1.239389497690048216e+02,1.142857142857143030e-02,6.196947488450239661e+01
-2.000000000000000888e+00,-1.248418655776165451e+02,-1.142857142857143377e-02,6.242093278880824414e+01
2.000000000000000444e+00,1.248398889282545383e+02,1.142857142857143030e-02,6.241994446412725495e+01
-2.000000000000000888e+00,-1.248474120681056974e+02,-1.142857142857143377e-02,6.242370603405282026e+01
2.000000000000000444e+00,1.248399641638263233e+02,1.142857142857143030e-02,6.241998208191314745e+01
-2.000000000000000888e+00,-1.248474130221200795e+02,-1.142857142857143377e-02,6.242370651106001134e+01
4.000000000000001776e+00,2.484472393826341374e+02,2.285714285714286753e-02,6.211180984565850594e+01
-4.000000000000002665e+00,-2.496176586354096401e+02,-2.285714285714287447e-02,6.240441465885236738e+01
4.000000000000001776e+00,2.496124907679738953e+02,2.285714285714286753e-02,6.240312269199344541e+01
-4.000000000000002665e+00,-2.496257963546778456e+02,-2.285714285714287447e-02,6.240644908866941876e+01
4.000000000000001776e+00,2.496126031788508612e+02,2.285714285714286753e-02,6.240315079471268689e+01
-4.000000000000002665e+00,-2.496257978683644012e+02,-2.285714285714287447e-02,6.240644946709105767e+01
7.999999999999987566e+00,4.946250129996271880e+02,4.571428571428564486e-02,6.182812662495349798e+01
-7.999999999999988454e+00,-4.973620483384798376e+02,-4.571428571428565180e-02,6.217025604231007208e+01
7.999999999999987566e+00,4.975260267231839180e+02,4.571428571428564486e-02,6.219075334039808922e+01
-7.999999999999988454e+00,-4.973865479610059310e+02,-4.571428571428565180e-02,6.217331849512583375e+01
7.999999999999987566e+00,4.975263916365385057e+02,4.571428571428564486e-02,6.219079895456741269e+01
-7.999999999999988454e+00,-4.973865536231465398e+02,-4.571428571428565180e-02,6.217331920289340985e+01
1.195000000000003659e+01,7.304780539958618419e+02,6.828571428571450497e-02,6.112787062726858522e+01
-1.204999999999999716e+01,-7.390373772230209397e+02,-6.885714285714283900e-02,6.133090267410963747e+01
1.195000000000003659e+01,7.335648113265217489e+02,6.828571428571450497e-02,6.138617668004347649e+01
-1.204999999999999716e+01,-7.390636872645209223e+02,-6.885714285714283900e-02,6.133308608004324469e+01
1.195000000000003659e+01,7.335652201236960082e+02,6.828571428571450497e-02,6.138621088901202683e+01
-1.204999999999999716e+01,-7.390636941504164952e+02,-6.885714285714283900e-02,6.133308665148685890e+01
1.594999999999997087e+01,9.521246979779293724e+02,9.114285714285697004e-02,5.969433843121824879e+01
-1.604999999999998295e+01,-9.597437624639462683e+02,-9.171428571428562326e-02,5.979711915663222754e+01
1.594999999999997087e+01,9.547386173988455766e+02,9.114285714285697004e-02,5.985822052657349701e+01
-1.604999999999998295e+01,-9.597639785989404118e+02,-9.171428571428562326e-02,5.979837872890600892e+01
1.594999999999997087e+01,9.547389444419287656e+02,9.114285714285697004e-02,5.985824103084203784e+01
-1.604999999999998295e+01,-9.597639843691432588e+02,-9.171428571428562326e-02,5.979837908842020511e+01
1.995000000000001705e+01,1.150611222409915172e+03,1.140000000000001013e-01,5.767474799047188583e+01
-2.004999999999998295e+01,-1.157065833990260217e+03,-1.145714285714284908e-01,5.770901915163397433e+01
1.995000000000001705e+01,1.152401438613068649e+03,1.140000000000001013e-01,5.776448313849963512e+01
-2.004999999999998295e+01,-1.157068682280865914e+03,-1.145714285714284908e-01,5.770916121101580387e+01
1.995000000000001705e+01,1.152401211359143417e+03,1.140000000000001013e-01,5.776447174732543743e+01
-2.004999999999998295e+01,-1.157066292090810066e+03,-1.145714285714284908e-01,5.770904199954169655e+01
2.982500000000001705e+01,1.547357255023024209e+03,1.704285714285715125e-01,5.188121559171914043e+01
-3.017499999999998295e+01,-1.561619990694116495e+03,-1.724285714285713478e-01,5.175211236765923672e+01
2.982500000000001705e+01,1.546946299960990928e+03,1.704285714285715125e-01,5.186743671285800872e+01
-3.017499999999998295e+01,-1.560396241747338081e+03,-1.724285714285713478e-01,5.171155730728546729e+01
2.982500000000001705e+01,1.546345992599949795e+03,1.704285714285715125e-01,5.184730905615922580e+01
-3.017499999999998295e+01,-1.559713805509517670e+03,-1.724285714285713478e-01,5.168894135905612330e+01
3.982500000000001705e+01,1.867185547725842298e+03,2.275714285714286744e-01,4.688475951602866587e+01
-4.017499999999998295e+01,-1.878948100012282339e+03,-2.295714285714284542e-01,4.676908774143828396e+01
3.982500000000001705e+01,1.861223424928326949e+03,2.275714285714286744e-01,4.673505147340429744e+01
-4.017499999999998295e+01,-1.873735888625734560e+03,-2.295714285714284542e-01,4.663935005913467080e+01
3.982500000000001705e+01,1.858908036264873317e+03,2.275714285714286744e-01,4.667691239836465655e+01
-4.017499999999998295e+01,-1.871406500767058105e+03,-2.295714285714284542e-01,4.658136902967165582e+01
4.982500000000001705e+01,2.131199722140535414e+03,2.847142857142858086e-01,4.277370240121494760e+01
-5.017499999999998295e+01,-2.140875310005663323e+03,-2.867142857142856438e-01,4.266816761346615294e+01
4.982500000000001705e+01,2.118517308343652530e+03,2.847142857142858086e-01,4.251916323820675814e+01
