Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000444e+00,1.406405176895584930e+02,1.142857142857143030e-02,7.032025884477923228e+01
-2.000000000000000888e+00,-1.415205416609777274e+02,-1.142857142857143377e-02,7.076027083048883526e+01
2.000000000000000444e+00,1.415176770704214846e+02,1.142857142857143030e-02,7.075883853521072808e+01
-2.000000000000000888e+00,-1.415256276782261580e+02,-1.142857142857143377e-02,7.076281383911305056e+01
2.000000000000000444e+00,1.415177443384900471e+02,1.142857142857143030e-02,7.075887216924500933e+01
-2.000000000000000888e+00,-1.415256285504653704e+02,-1.142857142857143377e-02,7.076281427523265677e+01
4.000000000000001776e+00,2.817579858380700557e+02,2.285714285714286753e-02,7.043949645951748550e+01
-4.000000000000002665e+00,-2.829582703974297146e+02,-2.285714285714287447e-02,7.073956759935738603e+01
4.000000000000001776e+00,2.829530307662611222e+02,2.285714285714286753e-02,7.073825769156525212e+01
-4.000000000000002665e+00,-2.829661164745497217e+02,-2.285714285714287447e-02,7.074152911863738780e+01
4.000000000000001776e+00,2.829531365364406952e+02,2.285714285714286753e-02,7.073828413411014537e+01
-4.000000000000002665e+00,-2.829661179347645543e+02,-2.285714285714287447e-02,7.074152948369109595e+01
7.999999999999987566e+00,5.607383494864769773e+02,4.571428571428564486e-02,7.009229368580973585e+01
-7.999999999999988454e+00,-5.635994939099819021e+02,-4.571428571428565180e-02,7.044993673874783724e+01
7.999999999999987566e+00,5.637641369274208500e+02,4.571428571428564486e-02,7.047051711592771994e+01
-7.999999999999988454e+00,-5.636236396973091587e+02,-4.571428571428565180e-02,7.045295496216374431e+01
7.999999999999987566e+00,5.637644876220354035e+02,4.571428571428564486e-02,7.047056095275453913e+01
-7.999999999999988454e+00,-5.636236451014958675e+02,-4.571428571428565180e-02,7.045295563768708291e+01
1.195000000000003659e+01,8.264908526587312281e+02,6.828571428571450497e-02,6.916241444842917474e+01
-1.204999999999999716e+01,-8.357643215458272152e+02,-6.885714285714283900e-02,6.935803498305621417e+01
1.195000000000003659e+01,8.296646972714908088e+02,6.828571428571450497e-02,6.942800813987349784e+01
-1.204999999999999716e+01,-8.357893635034153021e+02,-6.885714285714283900e-02,6.936011315381041697e+01
1.195000000000003659e+01,8.296650787240365617e+02,6.828571428571450497e-02,6.942804006058861432e+01
-1.204999999999999716e+01,-8.357893699071131550e+02,-6.885714285714283900e-02,6.936011368523762144e+01
1.594999999999997087e+01,1.075004254128319417e+03,9.114285714285697004e-02,6.739838583876623090e+01
-1.604999999999998295e+01,-1.083467896437093259e+03,-9.171428571428562326e-02,6.750578794000588800e+01
1.594999999999997087e+01,1.077642750072751141e+03,9.114285714285697004e-02,6.756380878199078666e+01
-1.604999999999998295e+01,-1.083486683383145873e+03,-9.171428571428562326e-02,6.750695846623969487e+01
1.594999999999997087e+01,1.077643053461260706e+03,9.114285714285697004e-02,6.756382780321395387e+01
-1.604999999999998295e+01,-1.083486688748520237e+03,-9.171428571428562326e-02,6.750695880053092424e+01
1.995000000000001705e+01,1.299485518405262383e+03,1.140000000000001013e-01,6.513711871705569934e+01
-2.004999999999998295e+01,-1.307062760770576233e+03,-1.145714285714284908e-01,6.519016263194899352e+01
1.995000000000001705e+01,1.301441753541876096e+03,1.140000000000001013e-01,6.523517561613408589e+01
-2.004999999999998295e+01,-1.307074132038087782e+03,-1.145714285714284908e-01,6.519072977746078834e+01
1.995000000000001705e+01,1.301441965541134323e+03,1.140000000000001013e-01,6.523518624266331756e+01
-2.004999999999998295e+01,-1.307074135444751619e+03,-1.145714285714284908e-01,6.519072994736922055e+01
