Displacement_mm,BaseShear_kN
1.000000000000000056e-01,7.039728438412706346e+00
2.000000000000000111e-01,1.407871715436968429e+01
3.000000000000000444e-01,2.111696171495385954e+01
4.000000000000000222e-01,2.815445372742019359e+01
5.000000000000000000e-01,3.519118256626313723e+01
5.999999999999999778e-01,4.222713752578794555e+01
6.999999999999999556e-01,4.926230827705327897e+01
7.999999999999999334e-01,5.629667573178897300e+01
8.999999999999999112e-01,6.333022425022593893e+01
9.999999999999998890e-01,7.036293597350427831e+01
1.099999999999999867e+00,7.739479841138131633e+01
1.199999999999999956e+00,8.442576714801293747e+01
1.300000000000000044e+00,9.145585947633142609e+01
1.400000000000000133e+00,9.848505723407615164e+01
1.500000000000000222e+00,1.055133555044423446e+02
1.600000000000000311e+00,1.125406826180693685e+02
1.700000000000000400e+00,1.195671037857246830e+02
1.800000000000000488e+00,1.265925486192037681e+02
1.900000000000000577e+00,1.336170207945058337e+02
2.000000000000000444e+00,1.406405176895584930e+02
1.900000000000000355e+00,1.335638040053974294e+02
1.800000000000000266e+00,1.264870960374415176e+02
1.700000000000000178e+00,1.194103939730149904e+02
1.600000000000000089e+00,1.123336971155858635e+02
1.500000000000000000e+00,1.052570071432404575e+02
1.399999999999999911e+00,9.818032110394570111e+01
1.299999999999999822e+00,9.110364229511503709e+01
1.199999999999999734e+00,8.402697344934212254e+01
1.099999999999999645e+00,7.695031668561757954e+01
9.999999999999996669e-01,6.987366242583473763e+01
8.999999999999996891e-01,6.279702430636888977e+01
7.999999999999997113e-01,5.572038897052559747e+01
6.999999999999997335e-01,4.864377834803219969e+01
5.999999999999997558e-01,4.156714670503616560e+01
4.999999999999997780e-01,3.449054264883031351e+01
3.999999999999998002e-01,2.741391030863184852e+01
2.999999999999998224e-01,2.033732722602578136e+01
1.999999999999998168e-01,1.326073013656362320e+01
9.999999999999981126e-02,6.184135580795285136e+00
-1.942890293094023946e-16,-8.886056697216947464e-01
-1.000000000000001998e-01,-7.928425926081416719e+00
-2.000000000000002054e-01,-1.496745107926772000e+01
-3.000000000000002109e-01,-2.200563207732295012e+01
-4.000000000000002442e-01,-2.904302370410522727e+01
-5.000000000000002220e-01,-3.607954148092812829e+01
-6.000000000000001998e-01,-4.311515699241913779e+01
-7.000000000000001776e-01,-5.014987839669372249e+01
-8.000000000000001554e-01,-5.718387131948732360e+01
-9.000000000000001332e-01,-6.421708951819748279e+01
-1.000000000000000222e+00,-7.124885680150285339e+01
-1.100000000000000311e+00,-7.828029707292520811e+01
-1.200000000000000400e+00,-8.531033712570211947e+01
-1.300000000000000488e+00,-9.233977815087111196e+01
-1.400000000000000577e+00,-9.936842783425669268e+01
-1.500000000000000666e+00,-1.063964744989128519e+02
-1.600000000000000755e+00,-1.134229697818604166e+02
-1.700000000000000844e+00,-1.204486608226030597e+02
-1.800000000000000933e+00,-1.274736775274507039e+02
-1.900000000000001021e+00,-1.344978572384376889e+02
-2.000000000000000888e+00,-1.415205416609777274e+02
-1.900000000000000799e+00,-1.344438364255089766e+02
-1.800000000000000711e+00,-1.273671523017962812e+02
-1.700000000000000622e+00,-1.202904854472744773e+02
-1.600000000000000533e+00,-1.132138415719502547e+02
-1.500000000000000444e+00,-1.061372316500420681e+02
-1.400000000000000355e+00,-9.906064035818295110e+01
-1.300000000000000266e+00,-9.198407479510909468e+01
-1.200000000000000178e+00,-8.490754177468591024e+01
-1.100000000000000089e+00,-7.783104862231454035e+01
-1.000000000000000000e+00,-7.075458545207960981e+01
-9.000000000000000222e-01,-6.367817963301981621e+01
-8.000000000000000444e-01,-5.660180960356054669e+01
-7.000000000000000666e-01,-4.952546928403774729e+01
-6.000000000000000888e-01,-4.244916249550559684e+01
-5.000000000000001110e-01,-3.537290979222750309e+01
-4.000000000000001332e-01,-2.829665760808284247e+01
-3.000000000000001554e-01,-2.122037689914856529e+01
-2.000000000000001499e-01,-1.414411687801997708e+01
-1.000000000000001443e-01,-7.067803259834378515e+00
-1.387778780781445676e-16,8.452340903050071380e-03
9.999999999999986677e-02,7.084694272260989578e+00
1.999999999999998723e-01,1.416094903217422640e+01
2.999999999999998779e-01,2.123711794412777110e+01
3.999999999999999112e-01,2.831322562729641135e+01
4.999999999999998890e-01,3.538933145251667867e+01
5.999999999999998668e-01,4.246538910160025893e+01
6.999999999999998446e-01,4.954128953217782794e+01
7.999999999999998224e-01,5.661707857295660773e+01
8.999999999999998002e-01,6.369279906986802331e+01
9.999999999999997780e-01,7.076840144239223207e+01
1.099999999999999867e+00,7.784404232683233715e+01
1.199999999999999956e+00,8.491937668012648999e+01
1.300000000000000044e+00,9.199465489003024743e+01
1.400000000000000133e+00,9.907029930020104302e+01
1.500000000000000222e+00,1.061461897887922561e+02
1.600000000000000311e+00,1.132213904253507479e+02
1.700000000000000400e+00,1.202968824193192319e+02
1.800000000000000488e+00,1.273721912276241142e+02
1.900000000000000577e+00,1.344476667051455365e+02
2.000000000000000444e+00,1.415176770704214846e+02
1.900000000000000355e+00,1.344409701887750259e+02
1.800000000000000266e+00,1.273642896631382939e+02
1.700000000000000178e+00,1.202876310777386806e+02
1.600000000000000089e+00,1.132109971085245803e+02
1.500000000000000000e+00,1.061343878867688204e+02
1.399999999999999911e+00,9.905780140473768824e+01
1.299999999999999822e+00,9.198123487798821429e+01
1.199999999999999734e+00,8.490469838224024102e+01
1.099999999999999645e+00,7.782820035786707535e+01
9.999999999999996669e-01,7.075172582522289133e+01
8.999999999999996891e-01,6.367528243388192521e+01
7.999999999999997113e-01,5.659886994391090553e+01
6.999999999999997335e-01,4.952249527520550032e+01
5.999999999999997558e-01,4.244611610721310768e+01
4.999999999999997780e-01,3.536977099077770959e+01
3.999999999999998002e-01,2.829340903877805502e+01
2.999999999999998224e-01,2.121709524830652072e+01
1.999999999999998168e-01,1.414078454755949465e+01
9.999999999999981126e-02,7.064446177758212819e+00
-1.942890293094023946e-16,-1.185652820202653772e-02
-1.000000000000001998e-01,-7.088185081871869464e+00
-2.000000000000002054e-01,-1.416454561860095396e+01
-3.000000000000002109e-01,-2.124076804023307830e+01
-4.000000000000002442e-01,-2.831691593112837424e+01
-5.000000000000002220e-01,-3.539293107392224158e+01
-6.000000000000001998e-01,-4.246875870529581931e+01
-7.000000000000001776e-01,-4.954445742740698932e+01
