Displacement_mm,BaseShear_kN
1.000000000000000056e-01,6.203392752415014755e+00
2.000000000000000111e-01,1.240614864094795777e+01
3.000000000000000444e-01,1.860826589106449802e+01
4.000000000000000222e-01,2.480974150044062654e+01
5.000000000000000000e-01,3.101056973963994778e+01
5.999999999999999778e-01,3.721074326735318749e+01
6.999999999999999556e-01,4.341025352041127405e+01
7.999999999999999334e-01,4.960909485009760544e+01
8.999999999999999112e-01,5.580725770630379401e+01
9.999999999999998890e-01,6.200472724820826187e+01
1.099999999999999867e+00,6.820149889362055262e+01
1.199999999999999956e+00,7.439755059677069937e+01
1.300000000000000044e+00,8.059289011298625383e+01
1.400000000000000133e+00,8.678748065245028442e+01
1.500000000000000222e+00,9.298131959101752386e+01
1.600000000000000311e+00,9.917440841542266128e+01
1.700000000000000400e+00,1.053667247076583777e+02
1.800000000000000488e+00,1.115582842843478630e+02
1.900000000000000577e+00,1.177490289973048050e+02
2.000000000000000444e+00,1.239389497690048216e+02
1.900000000000000355e+00,1.176963211635173963e+02
1.800000000000000266e+00,1.114536987083769048e+02
1.700000000000000178e+00,1.052110790055045868e+02
1.600000000000000089e+00,9.896846275732750087e+01
1.500000000000000000e+00,9.272585101136360208e+01
1.399999999999999911e+00,8.648324422795911914e+01
1.299999999999999822e+00,8.024064412839156546e+01
1.199999999999999734e+00,7.399804863609219296e+01
1.099999999999999645e+00,6.775545876900406483e+01
9.999999999999996669e-01,6.151286943021852949e+01
8.999999999999996891e-01,5.527029434012293763e+01
7.999999999999997113e-01,4.902771487631609659e+01
6.999999999999997335e-01,4.278513248405610625e+01
5.999999999999997558e-01,3.654256794306887457e+01
4.999999999999997780e-01,3.029999682582195675e+01
3.999999999999998002e-01,2.405744652733084621e+01
2.999999999999998224e-01,1.781489287696310342e+01
1.999999999999998168e-01,1.157232007625043302e+01
9.999999999999981126e-02,5.329782694849073188e+00
-1.942890293094023946e-16,-9.084373886955641186e-01
-1.000000000000001998e-01,-7.111895600192656985e+00
-2.000000000000002054e-01,-1.331467699388521275e+01
-3.000000000000002109e-01,-1.951676902576078376e+01
-4.000000000000002442e-01,-2.571827456872827966e+01
-5.000000000000002220e-01,-3.191903182402841921e+01
-6.000000000000001998e-01,-3.811906756151629594e+01
-7.000000000000001776e-01,-4.431840962794166217e+01
-8.000000000000001554e-01,-5.051709747423419117e+01
-9.000000000000001332e-01,-5.671493230500713878e+01
-1.000000000000000222e+00,-6.291219353537758252e+01
-1.100000000000000311e+00,-6.910879019090216957e+01
-1.200000000000000400e+00,-7.530401610708854321e+01
-1.300000000000000488e+00,-8.149893441130912208e+01
-1.400000000000000577e+00,-8.769335209973947087e+01
-1.500000000000000666e+00,-9.388655776490905680e+01
-1.600000000000000755e+00,-1.000790310579001243e+02
-1.700000000000000844e+00,-1.062710399534369827e+02
-1.800000000000000933e+00,-1.124621454322942498e+02
-1.900000000000001021e+00,-1.186526119713449816e+02
-2.000000000000000888e+00,-1.248418655776165451e+02
-1.900000000000000799e+00,-1.185992473485522964e+02
-1.800000000000000711e+00,-1.123566470579120420e+02
-1.700000000000000622e+00,-1.061140639418059948e+02
-1.600000000000000533e+00,-9.987149650343809526e+01
-1.500000000000000444e+00,-9.362895282488952375e+01
-1.400000000000000355e+00,-8.738643514583915817e+01
-1.300000000000000266e+00,-8.114393645303513836e+01
-1.200000000000000178e+00,-7.490146237924972183e+01
-1.100000000000000089e+00,-6.865902076901291196e+01
-1.000000000000000000e+00,-6.241659710580900366e+01
-9.000000000000000222e-01,-5.617420570566424232e+01
-8.000000000000000444e-01,-4.993182869871252905e+01
-7.000000000000000666e-01,-4.368946867373009724e+01
-6.000000000000000888e-01,-3.744713781178819545e+01
-5.000000000000001110e-01,-3.120481446015609350e+01
-4.000000000000001332e-01,-2.496249295711951532e+01
-3.000000000000001554e-01,-1.872015661508191542e+01
-2.000000000000001499e-01,-1.247782882943375249e+01
-1.000000000000001443e-01,-6.235490386094538984e+00
-1.387778780781445676e-16,6.819890451225887711e-03
9.999999999999986677e-02,6.249118571268260425e+00
1.999999999999998723e-01,1.249143745527247695e+01
2.999999999999998779e-01,1.873373705505941444e+01
3.999999999999999112e-01,2.497599684949336662e+01
4.999999999999998890e-01,3.121817667880887015e+01
5.999999999999998668e-01,3.746035737647684272e+01
6.999999999999998446e-01,4.370250102912878276e+01
7.999999999999998224e-01,4.994466999735584523e+01
8.999999999999998002e-01,5.618664098169508492e+01
9.999999999999997780e-01,6.242857878020902973e+01
1.099999999999999867e+00,6.867040974026245692e+01
1.199999999999999956e+00,7.491226696658910100e+01
1.300000000000000044e+00,8.115411661708384372e+01
1.400000000000000133e+00,8.739571773279190836e+01
1.500000000000000222e+00,9.363736144901608327e+01
1.600000000000000311e+00,9.987904643077281719e+01
1.700000000000000400e+00,1.061209082050413315e+02
1.800000000000000488e+00,1.123628016677823922e+02
1.900000000000000577e+00,1.186040834263244932e+02
2.000000000000000444e+00,1.248398889282545383e+02
1.900000000000000355e+00,1.185972683943835193e+02
1.800000000000000266e+00,1.123546751725629775e+02
1.700000000000000178e+00,1.061120954310339499e+02
1.600000000000000089e+00,9.986952788301751127e+01
1.500000000000000000e+00,9.362697980723604019e+01
1.399999999999999911e+00,8.738444868647357566e+01
