Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000000e+00,1.174379430436950003e+02,1.142857142857142856e-02,5.871897152184750013e+01
-2.000000000000000000e+00,-1.184089309970389507e+02,-1.142857142857142856e-02,5.920446549851947537e+01
2.000000000000000000e+00,1.184094564185087677e+02,1.142857142857142856e-02,5.920472820925438384e+01
-2.000000000000000000e+00,-1.184153214783791412e+02,-1.142857142857142856e-02,5.920766073918957062e+01
2.000000000000000000e+00,1.184095525259834289e+02,1.142857142857142856e-02,5.920477626299171447e+01
-2.000000000000000000e+00,-1.184153227933452541e+02,-1.142857142857142856e-02,5.920766139667262706e+01
4.000000000000000000e+00,2.355360949136685065e+02,2.285714285714285712e-02,5.888402372841712662e+01
-4.000000000000000000e+00,-2.367601868806760592e+02,-2.285714285714285712e-02,5.919004672016901480e+01
4.000000000000000000e+00,2.367592798833880465e+02,2.285714285714285712e-02,5.918981997084701163e+01
-4.000000000000000000e+00,-2.367692495093347134e+02,-2.285714285714285712e-02,5.919231237733367834e+01
4.000000000000000000e+00,2.367594187706486650e+02,2.285714285714285712e-02,5.918985469266216626e+01
-4.000000000000000000e+00,-2.367692498219672075e+02,-2.285714285714285712e-02,5.919231245549180187e+01
8.000000000000000000e+00,4.689823555814626275e+02,4.571428571428571425e-02,5.862279444768282843e+01
-8.000000000000000000e+00,-4.718065310839343169e+02,-4.571428571428571425e-02,5.897581638549178962e+01
8.000000000000000000e+00,4.719520604759862863e+02,4.571428571428571425e-02,5.899400755949828579e+01
-8.000000000000000000e+00,-4.718332535799314655e+02,-4.571428571428571425e-02,5.897915669749143319e+01
8.000000000000000000e+00,4.719524975511459957e+02,4.571428571428571425e-02,5.899406219389324946e+01
-8.000000000000000000e+00,-4.718332840135972788e+02,-4.571428571428571425e-02,5.897916050169965985e+01
1.210000000000000320e+01,7.015292360186838323e+02,6.914285714285715867e-02,5.797762281146145824e+01
-1.190000000000000746e+01,-6.937868499431970122e+02,-6.800000000000003264e-02,5.830141596161315931e+01
1.210000000000000320e+01,7.045223967037575221e+02,6.914285714285715867e-02,5.822499146312043905e+01
-1.190000000000000746e+01,-6.938145154423440317e+02,-6.800000000000003264e-02,5.830374079347425464e+01
1.210000000000000320e+01,7.045228556511651732e+02,6.914285714285715867e-02,5.822502939265826427e+01
-1.190000000000000746e+01,-6.938144910241385332e+02,-6.800000000000003264e-02,5.830373874152420655e+01
1.610000000000000853e+01,9.126100704281254821e+02,9.200000000000004008e-02,5.668385530609472056e+01
-1.590000000000001101e+01,-9.055328677064901512e+02,-9.085714285714291405e-02,5.695175268594273632e+01
1.610000000000000853e+01,9.152534706654392949e+02,9.200000000000004008e-02,5.684804165623843630e+01
-1.590000000000001101e+01,-9.055558225215627317e+02,-9.085714285714291405e-02,5.695319638500390624e+01
1.610000000000000853e+01,9.152538515002950135e+02,9.200000000000004008e-02,5.684806531057729728e+01
-1.590000000000001101e+01,-9.055558303655435566e+02,-9.085714285714291405e-02,5.695319687833602984e+01
2.009999999999998721e+01,1.101831420783162457e+03,1.148571428571427827e-01,5.481748362105289374e+01
-1.990000000000001279e+01,-1.095090199285836206e+03,-1.137142857142857816e-01,5.502965825556962187e+01
2.009999999999998721e+01,1.103668732100769148e+03,1.148571428571427827e-01,5.490889214431690846e+01
-1.990000000000001279e+01,-1.095098058346142579e+03,-1.137142857142857816e-01,5.503005318322320960e+01
2.009999999999998721e+01,1.103668771202185553e+03,1.148571428571427827e-01,5.490889408966101115e+01
-1.990000000000001279e+01,-1.095097623935164165e+03,-1.137142857142857816e-01,5.503003135352579989e+01
3.034999999999998721e+01,1.488919473276545659e+03,1.734285714285713487e-01,4.905830224963908393e+01
-2.965000000000001279e+01,-1.466962880035351645e+03,-1.694285714285715116e-01,4.947598246324961480e+01
3.034999999999998721e+01,1.488574267300885367e+03,1.734285714285713487e-01,4.904692808240151436e+01
-2.965000000000001279e+01,-1.466035617418176116e+03,-1.694285714285715116e-01,4.944470885052868425e+01
3.034999999999998721e+01,1.488083874626011266e+03,1.734285714285713487e-01,4.903077016889660200e+01
-2.965000000000001279e+01,-1.465624492957058919e+03,-1.694285714285715116e-01,4.943084293278442942e+01
4.034999999999998721e+01,1.793839542134885960e+03,2.305714285714285106e-01,4.445698989181875049e+01
-3.965000000000001279e+01,-1.776737947195842025e+03,-2.265714285714286180e-01,4.481054091288376640e+01
4.034999999999998721e+01,1.788490599115168607e+03,2.305714285714285106e-01,4.432442624820741628e+01
-3.965000000000001279e+01,-1.771471058568424951e+03,-2.265714285714286180e-01,4.467770639516832887e+01
4.034999999999998721e+01,1.785804494551502103e+03,2.305714285714285106e-01,4.425785612271381808e+01
-3.965000000000001279e+01,-1.769027837098982445e+03,-2.265714285714286180e-01,4.461608668597684613e+01
5.034999999999998721e+01,2.052070621106315684e+03,2.877142857142856447e-01,4.075611958503110799e+01
-4.965000000000001279e+01,-2.038587984856608500e+03,-2.837142857142858077e-01,4.105917391453389342e+01
5.034999999999998721e+01,2.041168058393900083e+03,2.877142857142856447e-01,4.053958407932275065e+01
-4.965000000000001279e+01,-2.027948330885605628e+03,-2.837142857142858077e-01,4.084488078319446203e+01
5.034999999999998721e+01,2.037165747835857701e+03,2.877142857142856447e-01,4.046009429664067625e+01
-4.965000000000001279e+01,-2.024152136754576077e+03,-2.837142857142858077e-01,4.076842168689980639e+01
5.984999999999998721e+01,2.262761411259188208e+03,3.419999999999999707e-01,3.780720820817357719e+01
-6.015000000000001279e+01,-2.274090905377538093e+03,-3.437142857142858055e-01,3.780699759563653828e+01
5.984999999999998721e+01,2.247168871069839952e+03,3.419999999999999707e-01,3.754668122088288129e+01
-6.015000000000001279e+01,-2.259997359662554118e+03,-3.437142857142858055e-01,3.757269093370828728e+01
5.984999999999998721e+01,2.242450215702142032e+03,3.419999999999999707e-01,3.746783986135576328e+01
-6.015000000000001279e+01,-2.255379383283725019e+03,-3.437142857142858055e-01,3.749591659657065179e+01
6.934999999999999432e+01,2.438045648969851300e+03,3.962857142857141857e-01,3.515566905508077156e+01
-7.065000000000000568e+01,-2.465407866004388325e+03,-4.037142857142856922e-01,3.489607736736572008e+01
6.934999999999999432e+01,2.415563550641571510e+03,3.962857142857141857e-01,3.483148595013081206e+01
-7.065000000000000568e+01,-2.444118639935770716e+03,-4.037142857142856922e-01,3.459474366504983323e+01
6.934999999999999432e+01,2.407206773091722425e+03,3.962857142857141857e-01,3.471098447140191467e+01
-7.065000000000000568e+01,-2.436392744448693520e+03,-4.037142857142856922e-01,3.448538916417117406e+01
7.934999999999999432e+01,2.581707691304181481e+03,4.534285714285714031e-01,3.253569869318439345e+01
-8.065000000000000568e+01,-2.604575807384160271e+03,-4.608571428571429096e-01,3.229480232342417878e+01
7.934999999999999432e+01,2.550375118315434065e+03,4.534285714285714031e-01,3.214083324909179851e+01
-8.065000000000000568e+01,-2.576091222839637794e+03,-4.608571428571429096e-01,3.194161466633152813e+01
7.934999999999999432e+01,2.538807723066761355e+03,4.534285714285714031e-01,3.199505637135175107e+01
-8.065000000000000568e+01,-2.565608439677893784e+03,-4.608571428571429096e-01,3.181163595384865062e+01
9.034999999999999432e+01,2.695735989094491288e+03,5.162857142857142367e-01,2.983659091416149778e+01
-8.965000000000000568e+01,-2.692673701608744523e+03,-5.122857142857143442e-01,3.003540102184879501e+01
9.034999999999999432e+01,2.653639351584311044e+03,5.162857142857142367e-01,2.937066244144229188e+01
-8.965000000000000568e+01,-2.659381535880147567e+03,-5.122857142857143442e-01,2.966404390273449465e+01
9.034999999999999432e+01,2.638309018993966674e+03,5.162857142857142367e-01,2.920098526833388775e+01
-8.965000000000000568e+01,-2.646501777975424375e+03,-5.122857142857143442e-01,2.952037677607835064e+01
1.003499999999999943e+02,2.749467654765403040e+03,5.734285714285713986e-01,2.739878081480222249e+01
-9.965000000000000568e+01,-2.757837157596926318e+03,-5.694285714285713951e-01,2.767523489811265591e+01
1.003499999999999943e+02,2.703375116911505302e+03,5.734285714285713986e-01,2.693946304844549644e+01
-9.965000000000000568e+01,-2.716201197330638934e+03,-5.694285714285713951e-01,2.725741291852121151e+01
1.003499999999999943e+02,2.686853461227084154e+03,5.734285714285713986e-01,2.677482273270637236e+01
-9.965000000000000568e+01,-2.701038673608743011e+03,-5.694285714285713951e-01,2.710525512903906531e+01
