Displacement_mm,BaseShear_kN
2.500000000000000000e-01,1.469392415527342166e+01
5.000000000000000000e-01,2.938398631811418582e+01
7.500000000000000000e-01,4.407012767245493023e+01
1.000000000000000000e+00,5.875225485047161555e+01
1.250000000000000000e+00,7.343025112143733679e+01
1.500000000000000000e+00,8.810396882913843797e+01
1.750000000000000000e+00,1.027732667683202266e+02
2.000000000000000000e+00,1.174379430436950003e+02
1.750000000000000000e+00,1.026354707593932289e+02
1.500000000000000000e+00,8.783302645167398737e+01
1.250000000000000000e+00,7.303060551377302545e+01
1.000000000000000000e+00,5.822821057639788478e+01
7.500000000000000000e-01,4.342582895241498875e+01
5.000000000000000000e-01,2.862348677735206692e+01
2.500000000000000000e-01,1.382113228526593396e+01
0.000000000000000000e+00,-9.760683585033661513e-01
-2.500000000000000000e-01,-1.567007719270286259e+01
-5.000000000000000000e-01,-3.036004352073026880e+01
-7.500000000000000000e-01,-4.504593287622095943e+01
-1.000000000000000000e+00,-5.972760652634116951e+01
-1.250000000000000000e+00,-7.440499400099588456e+01
-1.500000000000000000e+00,-8.907728191544572383e+01
-1.750000000000000000e+00,-1.037457335268264274e+02
-2.000000000000000000e+00,-1.184089309970389507e+02
-1.750000000000000000e+00,-1.036065094216202738e+02
-1.500000000000000000e+00,-8.880420878400492768e+01
-1.250000000000000000e+00,-7.400203949222679967e+01
-1.000000000000000000e+00,-5.919998887812533184e+01
-7.500000000000000000e-01,-4.439804889557156997e+01
-5.000000000000000000e-01,-2.959617470903968339e+01
-2.500000000000000000e-01,-1.479432533205858391e+01
0.000000000000000000e+00,7.533969184292005003e-03
2.500000000000000000e-01,1.480932271747055218e+01
5.000000000000000000e-01,2.961107652772842513e+01
7.500000000000000000e-01,4.441251695725034665e+01
1.000000000000000000e+00,5.921394628592890541e+01
1.250000000000000000e+00,7.401486697916050161e+01
1.500000000000000000e+00,8.881530610234479184e+01
1.750000000000000000e+00,1.036156692659492222e+02
2.000000000000000000e+00,1.184094564185087677e+02
1.750000000000000000e+00,1.036070180684454272e+02
1.500000000000000000e+00,8.880469097279573987e+01
1.250000000000000000e+00,7.400246069138093219e+01
1.000000000000000000e+00,5.920033519867764227e+01
7.500000000000000000e-01,4.439826786519488877e+01
5.000000000000000000e-01,2.959627491956338829e+01
2.500000000000000000e-01,1.479428564361752052e+01
0.000000000000000000e+00,-7.678506892755422412e-03
-2.500000000000000000e-01,-1.480964242811153753e+01
-5.000000000000000000e-01,-2.961145261168315557e+01
-7.500000000000000000e-01,-4.441297257960055589e+01
-1.000000000000000000e+00,-5.921412024505112015e+01
-1.250000000000000000e+00,-7.401502117954719040e+01
-1.500000000000000000e+00,-8.881506095401415735e+01
-1.750000000000000000e+00,-1.036155856202371410e+02
-2.000000000000000000e+00,-1.184153214783791412e+02
-1.750000000000000000e+00,-1.036129012567352987e+02
-1.500000000000000000e+00,-8.881060154337519918e+01
-1.250000000000000000e+00,-7.400843392843661661e+01
-1.000000000000000000e+00,-5.920638572528275034e+01
-7.500000000000000000e-01,-4.440444866558590320e+01
-5.000000000000000000e-01,-2.960257859508735123e+01
-2.500000000000000000e-01,-1.480073272012647401e+01
0.000000000000000000e+00,1.123059870546398893e-03
2.500000000000000000e-01,1.480290788843111116e+01
5.000000000000000000e-01,2.960465856155469311e+01
7.500000000000000000e-01,4.440609580434973935e+01
1.000000000000000000e+00,5.920752237698231113e+01
1.250000000000000000e+00,7.400844172463575887e+01
1.500000000000000000e+00,8.880888197633156267e+01
1.750000000000000000e+00,1.036092566077598178e+02
2.000000000000000000e+00,1.184095525259834289e+02
1.750000000000000000e+00,1.036071135037537090e+02
1.500000000000000000e+00,8.880478641179288957e+01
1.250000000000000000e+00,7.400255611707410708e+01
1.000000000000000000e+00,5.920043063604857281e+01
7.500000000000000000e-01,4.439836331576675121e+01
5.000000000000000000e-01,2.959637038549938381e+01
2.500000000000000000e-01,1.479438112445655307e+01
0.000000000000000000e+00,-7.583010395759970206e-03
-2.500000000000000000e-01,-1.480954691800579859e+01
-5.000000000000000000e-01,-2.961135708521344867e+01
-7.500000000000000000e-01,-4.441287703859782710e+01
-1.000000000000000000e+00,-5.921402468678212472e+01
-1.250000000000000000e+00,-7.401492560257980813e+01
-1.500000000000000000e+00,-8.881496537016072068e+01
-1.750000000000000000e+00,-1.036154900205616087e+02
-2.000000000000000000e+00,-1.184153227933452541e+02
-1.750000000000000000e+00,-1.036129025749023214e+02
-1.500000000000000000e+00,-8.881060286148364469e+01
-1.250000000000000000e+00,-7.400843524676976415e+01
-1.000000000000000000e+00,-5.920638704393136464e+01
-7.500000000000000000e-01,-4.440444998459647508e+01
-5.000000000000000000e-01,-2.960257991462839655e+01
-2.500000000000000000e-01,-1.480073404008158455e+01
0.000000000000000000e+00,1.121739490875711459e-03
2.500000000000000000e-01,1.480290656755100720e+01
5.000000000000000000e-01,2.960465724027755741e+01
7.500000000000000000e-01,4.440609448266899051e+01
1.000000000000000000e+00,5.920752105471503057e+01
1.250000000000000000e+00,7.400844040189721795e+01
1.500000000000000000e+00,8.880888065260852215e+01
1.750000000000000000e+00,1.036092552839140097e+02
2.000000000000000000e+00,1.184095516581742942e+02
2.250000000000000000e+00,1.330685548024607101e+02
2.500000000000000000e+00,1.477215308689373501e+02
2.750000000000000000e+00,1.623702952693012662e+02
3.000000000000000000e+00,1.770142973316506811e+02
3.250000000000000000e+00,1.916531082315191270e+02
3.500000000000000000e+00,2.062849691753497723e+02
3.750000000000000000e+00,2.209131243178973421e+02
4.000000000000000000e+00,2.355360949136685065e+02
3.750000000000000000e+00,2.207336541170277258e+02
3.500000000000000000e+00,2.059313150986837115e+02
3.250000000000000000e+00,1.911291225451217315e+02
3.000000000000000000e+00,1.763270586941511908e+02
2.750000000000000000e+00,1.615250892896998778e+02
2.500000000000000000e+00,1.467232391675901511e+02
2.250000000000000000e+00,1.319215553853440781e+02
2.000000000000000000e+00,1.171199787622770287e+02
1.750000000000000000e+00,1.023187281125470633e+02
1.500000000000000000e+00,8.751768100135673478e+01
1.250000000000000000e+00,7.271680276719166613e+01
1.000000000000000000e+00,5.791613808904605065e+01
7.500000000000000000e-01,4.311545655039380875e+01
5.000000000000000000e-01,2.831495782143904449e+01
2.500000000000000000e-01,1.351419347379842151e+01
0.000000000000000000e+00,-1.286566466521132934e+00
-2.500000000000000000e-01,-1.608736909858057018e+01
-5.000000000000000000e-01,-3.088728114162842431e+01
-7.500000000000000000e-01,-4.568580448418147455e+01
-1.000000000000000000e+00,-6.048288585401142825e+01
-1.250000000000000000e+00,-7.527954628253860392e+01
-1.500000000000000000e+00,-9.007331121084878589e+01
-1.750000000000000000e+00,-1.048692468454556490e+02
-2.000000000000000000e+00,-1.196563104632845693e+02
-2.250000000000000000e+00,-1.343131251030308135e+02
-2.500000000000000000e+00,-1.489614549218437958e+02
-2.750000000000000000e+00,-1.636086030910673799e+02
-3.000000000000000000e+00,-1.782498427213827767e+02
-3.250000000000000000e+00,-1.928849398713319374e+02
-3.500000000000000000e+00,-2.075137911414173857e+02
-3.750000000000000000e+00,-2.221386423696917802e+02
-4.000000000000000000e+00,-2.367601868806760592e+02
-3.750000000000000000e+00,-2.219577450519118713e+02
-3.500000000000000000e+00,-2.071554709122989948e+02
-3.250000000000000000e+00,-1.923534221689729975e+02
-3.000000000000000000e+00,-1.775515740697959473e+02
-2.750000000000000000e+00,-1.627499176518979311e+02
-2.500000000000000000e+00,-1.479484468622372049e+02
-2.250000000000000000e+00,-1.331472497509490154e+02
-2.000000000000000000e+00,-1.183462635358902162e+02
-1.750000000000000000e+00,-1.035457677776886101e+02
-1.500000000000000000e+00,-8.874562342377473101e+01
-1.250000000000000000e+00,-7.394600390559381253e+01
-1.000000000000000000e+00,-5.914686276303265089e+01
-7.500000000000000000e-01,-4.434805060997830850e+01
-5.000000000000000000e-01,-2.954916191412419479e+01
-2.500000000000000000e-01,-1.474997259007352213e+01
0.000000000000000000e+00,4.920263395343431323e-02
2.500000000000000000e-01,1.484820435213837087e+01
5.000000000000000000e-01,2.964676912861827063e+01
7.500000000000000000e-01,4.444406767355312127e+01
1.000000000000000000e+00,5.924122550337487780e+01
1.250000000000000000e+00,7.403620726869638702e+01
1.500000000000000000e+00,8.883065095151324897e+01
1.750000000000000000e+00,1.036244639047672251e+02
2.000000000000000000e+00,1.184187760096409221e+02
2.250000000000000000e+00,1.332132041940112401e+02
2.500000000000000000e+00,1.480063081521273318e+02
2.750000000000000000e+00,1.628010873849287634e+02
3.000000000000000000e+00,1.775959339211578367e+02
3.250000000000000000e+00,1.923893518767572743e+02
3.500000000000000000e+00,2.071803721204740327e+02
3.750000000000000000e+00,2.219742675074888325e+02
4.000000000000000000e+00,2.367592798833880465e+02
3.750000000000000000e+00,2.219568613718051040e+02
3.500000000000000000e+00,2.071546137694708989e+02
3.250000000000000000e+00,1.923525876954883529e+02
3.000000000000000000e+00,1.775508252665761972e+02
2.750000000000000000e+00,1.627492342841194386e+02
2.500000000000000000e+00,1.479478166101411318e+02
2.250000000000000000e+00,1.331466763623292024e+02
2.000000000000000000e+00,1.183457607299655621e+02
1.750000000000000000e+00,1.035452671084269411e+02
1.500000000000000000e+00,8.874512032382622806e+01
1.250000000000000000e+00,7.394525578755848016e+01
1.000000000000000000e+00,5.914574235979304717e+01
7.500000000000000000e-01,4.434631971689659480e+01
5.000000000000000000e-01,2.954715980744629178e+01
2.500000000000000000e-01,1.474774107440808102e+01
0.000000000000000000e+00,-5.155638769334723592e-02
-2.500000000000000000e-01,-1.485089575281598684e+01
-5.000000000000000000e-01,-2.964936852006428936e+01
-7.500000000000000000e-01,-4.444646855823546616e+01
-1.000000000000000000e+00,-5.924203254972601940e+01
-1.250000000000000000e+00,-7.403727726378221519e+01
-1.500000000000000000e+00,-8.882909225538922726e+01
-1.750000000000000000e+00,-1.036232611917883872e+02
-2.000000000000000000e+00,-1.184162697156421871e+02
-2.250000000000000000e+00,-1.332118733894798197e+02
-2.500000000000000000e+00,-1.480038035716951299e+02
-2.750000000000000000e+00,-1.627993726843621118e+02
-3.000000000000000000e+00,-1.775941573891819871e+02
-3.250000000000000000e+00,-1.923878286232551318e+02
-3.500000000000000000e+00,-2.071803054549687602e+02
-3.750000000000000000e+00,-2.219738394527173853e+02
-4.000000000000000000e+00,-2.367692495093347134e+02
-3.750000000000000000e+00,-2.219668090112481593e+02
-3.500000000000000000e+00,-2.071645363838889864e+02
-3.250000000000000000e+00,-1.923624882522161670e+02
-3.000000000000000000e+00,-1.775606417746741670e+02
-2.750000000000000000e+00,-1.627589897397770926e+02
-2.500000000000000000e+00,-1.479575220651593099e+02
-2.250000000000000000e+00,-1.331563289851687273e+02
-2.000000000000000000e+00,-1.183553478105030905e+02
-1.750000000000000000e+00,-1.035548587862617325e+02
-1.500000000000000000e+00,-8.875472119238011715e+01
-1.250000000000000000e+00,-7.395510993244052145e+01
-1.000000000000000000e+00,-5.915597808562773707e+01
-7.500000000000000000e-01,-4.435717613512745316e+01
-5.000000000000000000e-01,-2.955829812068096629e+01
-2.500000000000000000e-01,-1.475912069475015720e+01
0.000000000000000000e+00,4.004301440606195667e-02
2.500000000000000000e-01,1.483903319442688762e+01
5.000000000000000000e-01,2.963758643524942471e+01
7.500000000000000000e-01,4.443487137980515200e+01
1.000000000000000000e+00,5.923201797281326009e+01
1.250000000000000000e+00,7.402698828330538561e+01
1.500000000000000000e+00,8.882141793675809538e+01
1.750000000000000000e+00,1.036152183159182840e+02
2.000000000000000000e+00,1.184095164103803484e+02
2.250000000000000000e+00,1.332039362494636237e+02
2.500000000000000000e+00,1.479970230823872157e+02
2.750000000000000000e+00,1.627917865517769371e+02
3.000000000000000000e+00,1.775866221275769874e+02
3.250000000000000000e+00,1.923800336827505646e+02
3.500000000000000000e+00,2.071710407969067091e+02
3.750000000000000000e+00,2.219649422941845387e+02
4.000000000000000000e+00,2.367594187706486650e+02
3.750000000000000000e+00,2.219570003005078718e+02
3.500000000000000000e+00,2.071547527064598455e+02
3.250000000000000000e+00,1.923527266409984122e+02
3.000000000000000000e+00,1.775509642335886724e+02
2.750000000000000000e+00,1.627493732933219519e+02
2.500000000000000000e+00,1.479479556796604527e+02
2.250000000000000000e+00,1.331468155004570235e+02
2.000000000000000000e+00,1.183458999488600369e+02
1.750000000000000000e+00,1.035454063994618963e+02
1.500000000000000000e+00,8.874525971156009518e+01
1.250000000000000000e+00,7.394539528127057793e+01
1.000000000000000000e+00,5.914588195755935374e+01
7.500000000000000000e-01,4.434645943393814349e+01
5.000000000000000000e-01,2.954729963125223335e+01
2.500000000000000000e-01,1.474788101235013471e+01
0.000000000000000000e+00,-5.141632850923838483e-02
-2.500000000000000000e-01,-1.485075557160240933e+01
-5.000000000000000000e-01,-2.964922822747789866e+01
-7.500000000000000000e-01,-4.444632815811480242e+01
-1.000000000000000000e+00,-5.924189204034182410e+01
-1.250000000000000000e+00,-7.403713666620866718e+01
-1.500000000000000000e+00,-8.882895150384635485e+01
-1.750000000000000000e+00,-1.036231203190194492e+02
-2.000000000000000000e+00,-1.184161287114170591e+02
-2.250000000000000000e+00,-1.332117322521503127e+02
-2.500000000000000000e+00,-1.480036623209530546e+02
-2.750000000000000000e+00,-1.627992312913264925e+02
-3.000000000000000000e+00,-1.775940158274791827e+02
-3.250000000000000000e+00,-1.923876870126567837e+02
-3.500000000000000000e+00,-2.071801637291017641e+02
-3.750000000000000000e+00,-2.219736975485929804e+02
-4.000000000000000000e+00,-2.367692498219672075e+02
-3.750000000000000000e+00,-2.219668113788933397e+02
-3.500000000000000000e+00,-2.071645374901798959e+02
-3.250000000000000000e+00,-1.923624899039118361e+02
-3.000000000000000000e+00,-1.775606437349196938e+02
-2.750000000000000000e+00,-1.627589917222965710e+02
-2.500000000000000000e+00,-1.479575240389779083e+02
-2.250000000000000000e+00,-1.331563309588673008e+02
-2.000000000000000000e+00,-1.183553497850663518e+02
-1.750000000000000000e+00,-1.035548607624363626e+02
-1.500000000000000000e+00,-8.875472316975773879e+01
-1.250000000000000000e+00,-7.395511191123512162e+01
-1.000000000000000000e+00,-5.915598006606500547e+01
-7.500000000000000000e-01,-4.435717811719091941e+01
-5.000000000000000000e-01,-2.955830010442775446e+01
-2.500000000000000000e-01,-1.475912268049684073e+01
0.000000000000000000e+00,4.004102682542850372e-02
2.500000000000000000e-01,1.483903120499146056e+01
5.000000000000000000e-01,2.963758444398011704e+01
7.500000000000000000e-01,4.443486938560055677e+01
1.000000000000000000e+00,5.923201597722054146e+01
1.250000000000000000e+00,7.402698628636380818e+01
1.500000000000000000e+00,8.882141593701115312e+01
1.750000000000000000e+00,1.036152163144060836e+02
2.000000000000000000e+00,1.184095144068451759e+02
2.250000000000000000e+00,1.332039342448715900e+02
2.500000000000000000e+00,1.479970210748137731e+02
2.750000000000000000e+00,1.627917845413592488e+02
3.000000000000000000e+00,1.775866200948236440e+02
3.250000000000000000e+00,1.923800316696277264e+02
3.500000000000000000e+00,2.071710387804896811e+02
3.750000000000000000e+00,2.219649402742566338e+02
4.000000000000000000e+00,2.367594188644185067e+02
4.250000000000000000e+00,2.513748564396068446e+02
4.500000000000000000e+00,2.659828158202278701e+02
4.750000000000000000e+00,2.805832767015031095e+02
5.000000000000000000e+00,2.951774601188603242e+02
5.250000000000000000e+00,3.097628263251367002e+02
5.500000000000000000e+00,3.243352709696436591e+02
5.750000000000000000e+00,3.388954424479159115e+02
6.000000000000000000e+00,3.534384483990867238e+02
6.250000000000000000e+00,3.679670262012074886e+02
6.500000000000000000e+00,3.824717965841040268e+02
6.750000000000000000e+00,3.969518418581004653e+02
7.000000000000000000e+00,4.114108476385562767e+02
7.250000000000000000e+00,4.258437692917587469e+02
7.500000000000000000e+00,4.402497565798090591e+02
7.750000000000000000e+00,4.546311647917592609e+02
8.000000000000000000e+00,4.689823555814626275e+02
7.750000000000000000e+00,4.542007043063525202e+02
7.500000000000000000e+00,4.394193003554997858e+02
7.250000000000000000e+00,4.246381622773620848e+02
7.000000000000000000e+00,4.098573187353042044e+02
6.750000000000000000e+00,3.950767260224293977e+02
6.500000000000000000e+00,3.802964145015210988e+02
6.250000000000000000e+00,3.655163482145634930e+02
6.000000000000000000e+00,3.507365191146088819e+02
5.750000000000000000e+00,3.359569097714885970e+02
5.500000000000000000e+00,3.211775301918368086e+02
5.250000000000000000e+00,3.063983544793273381e+02
5.000000000000000000e+00,2.916194270284984214e+02
4.750000000000000000e+00,2.768407624539353264e+02
4.500000000000000000e+00,2.620624632174923363e+02
4.250000000000000000e+00,2.472842561302753097e+02
4.000000000000000000e+00,2.325064240800576840e+02
3.750000000000000000e+00,2.177290510506560679e+02
3.500000000000000000e+00,2.029524218000757116e+02
3.250000000000000000e+00,1.881761334356521331e+02
3.000000000000000000e+00,1.733999196650230488e+02
2.750000000000000000e+00,1.586246905104231644e+02
2.500000000000000000e+00,1.438508944105923320e+02
2.250000000000000000e+00,1.290775248404659408e+02
2.000000000000000000e+00,1.143054093418847117e+02
1.750000000000000000e+00,9.953660727955551124e+01
1.500000000000000000e+00,8.476756432294688182e+01
1.250000000000000000e+00,7.000089772979714553e+01
1.000000000000000000e+00,5.523068738853264392e+01
7.500000000000000000e-01,4.046137597778491113e+01
5.000000000000000000e-01,2.569227639519843365e+01
2.500000000000000000e-01,1.091941285221794367e+01
0.000000000000000000e+00,-3.853654200834243593e+00
-2.500000000000000000e-01,-1.862420119678096597e+01
-5.000000000000000000e-01,-3.338802570177968221e+01
-7.500000000000000000e-01,-4.814390721048435751e+01
-1.000000000000000000e+00,-6.289600764570105440e+01
-1.250000000000000000e+00,-7.763869191206809717e+01
-1.500000000000000000e+00,-9.238963167862945625e+01
-1.750000000000000000e+00,-1.071397559778150708e+02
-2.000000000000000000e+00,-1.219003219429426821e+02
-2.250000000000000000e+00,-1.366571546699094597e+02
-2.500000000000000000e+00,-1.514223530439278704e+02
-2.750000000000000000e+00,-1.661920046874762136e+02
-3.000000000000000000e+00,-1.809577601094564727e+02
-3.250000000000000000e+00,-1.957270894897941957e+02
-3.500000000000000000e+00,-2.104958958534930105e+02
-3.750000000000000000e+00,-2.252730366823620329e+02
-4.000000000000000000e+00,-2.400257985804594512e+02
-4.250000000000000000e+00,-2.546222344988941586e+02
-4.500000000000000000e+00,-2.692139007767540875e+02
