Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.000000000000000000e+00,1.686212678870566890e+02,1.142857142857142856e-02,8.431063394352834450e+01
-2.000000000000000000e+00,-1.696590649554859169e+02,-1.142857142857142856e-02,8.482953247774295846e+01
2.000000000000000000e+00,1.696576715065797600e+02,1.142857142857142856e-02,8.482883575328988002e+01
-2.000000000000000000e+00,-1.696641119973749596e+02,-1.142857142857142856e-02,8.483205599868747981e+01
2.000000000000000000e+00,1.696577188927246596e+02,1.142857142857142856e-02,8.482885944636232978e+01
-2.000000000000000000e+00,-1.696641208840557340e+02,-1.142857142857142856e-02,8.483206044202786700e+01
4.000000000000000000e+00,3.377990941210111373e+02,2.285714285714285712e-02,8.444977353025278433e+01
-4.000000000000000000e+00,-3.392146294749096000e+02,-2.285714285714285712e-02,8.480365736872740001e+01
4.000000000000000000e+00,3.392138781883191427e+02,2.285714285714285712e-02,8.480346954707978568e+01
-4.000000000000000000e+00,-3.392227522225205689e+02,-2.285714285714285712e-02,8.480568805563014223e+01
4.000000000000000000e+00,3.392139637752771932e+02,2.285714285714285712e-02,8.480349094381929831e+01
-4.000000000000000000e+00,-3.392227589623992117e+02,-2.285714285714285712e-02,8.480568974059980292e+01
8.000000000000000000e+00,6.707719146451503320e+02,4.571428571428571425e-02,8.384648933064379150e+01
-8.000000000000000000e+00,-6.741623256331509992e+02,-4.571428571428571425e-02,8.427029070414387490e+01
8.000000000000000000e+00,6.742005035042664076e+02,4.571428571428571425e-02,8.427506293803330095e+01
-8.000000000000000000e+00,-6.741861881249839143e+02,-4.571428571428571425e-02,8.427327351562298929e+01
8.000000000000000000e+00,6.742007995713689752e+02,4.571428571428571425e-02,8.427509994642112190e+01
-8.000000000000000000e+00,-6.741861896556135889e+02,-4.571428571428571425e-02,8.427327370695169861e+01
1.210000000000000320e+01,9.929126818997293640e+02,6.914285714285715867e-02,8.205889933055613028e+01
-1.190000000000000746e+01,-9.815514981968682378e+02,-6.800000000000003264e-02,8.248331917620735965e+01
1.210000000000000320e+01,9.960913988195770798e+02,6.914285714285715867e-02,8.232160320822949018e+01
-1.190000000000000746e+01,-9.815731539917163673e+02,-6.800000000000003264e-02,8.248513899090048085e+01
1.210000000000000320e+01,9.960916492348140991e+02,6.914285714285715867e-02,8.232162390370362459e+01
-1.190000000000000746e+01,-9.815731515162167398e+02,-6.800000000000003264e-02,8.248513878287531043e+01
1.610000000000000853e+01,1.273899524708882154e+03,9.200000000000004008e-02,7.912419408129699150e+01
-1.590000000000001101e+01,-1.263678137398194167e+03,-9.085714285714291405e-02,7.947661241498070694e+01
1.610000000000000853e+01,1.276270681839820782e+03,9.200000000000004008e-02,7.927147092172795340e+01
-1.590000000000001101e+01,-1.263691055126270385e+03,-9.085714285714291405e-02,7.947742485070877194e+01
1.610000000000000853e+01,1.276270824602793482e+03,9.200000000000004008e-02,7.927147978899334646e+01
-1.590000000000001101e+01,-1.263691057040167834e+03,-9.085714285714291405e-02,7.947742497107968518e+01
2.009999999999998721e+01,1.516874653415946341e+03,1.148571428571427827e-01,7.546640066746006426e+01
-1.990000000000001279e+01,-1.507590645381918421e+03,-1.137142857142857816e-01,7.575832388853856969e+01
2.009999999999998721e+01,1.518090357800773063e+03,1.148571428571427827e-01,7.552688347267532265e+01
-1.990000000000001279e+01,-1.507563035225707608e+03,-1.137142857142857816e-01,7.575693644350285183e+01
2.009999999999998721e+01,1.518087806497228712e+03,1.148571428571427827e-01,7.552675654215073564e+01
-1.990000000000001279e+01,-1.507559561282139612e+03,-1.137142857142857816e-01,7.575676187347430357e+01
3.034999999999998721e+01,2.008484865686105877e+03,1.734285714285713487e-01,6.617742555802658444e+01
-2.965000000000001279e+01,-1.978316619904939671e+03,-1.694285714285715116e-01,6.672231433068932915e+01
3.034999999999998721e+01,2.004203134072366083e+03,1.734285714285713487e-01,6.603634708640417728e+01
-2.965000000000001279e+01,-1.976372330049727907e+03,-1.694285714285715116e-01,6.665673963068219621e+01
3.034999999999998721e+01,2.002948367973808899e+03,1.734285714285713487e-01,6.599500388711069832e+01
-2.965000000000001279e+01,-1.975494701249977197e+03,-1.694285714285715116e-01,6.662714000843089934e+01
4.034999999999998721e+01,2.390477540915911050e+03,2.305714285714285106e-01,5.924355739568554924e+01
-3.965000000000001279e+01,-2.367759746233507940e+03,-2.265714285714286180e-01,5.971651314586399195e+01
4.034999999999998721e+01,2.380885635004170581e+03,2.305714285714285106e-01,5.900583977705505134e+01
-3.965000000000001279e+01,-2.360359727977911916e+03,-2.265714285714286180e-01,5.952987964635337192e+01
4.034999999999998721e+01,2.377422038191714819e+03,2.305714285714285106e-01,5.892000094651091757e+01
-3.965000000000001279e+01,-2.357340639476668912e+03,-2.265714285714286180e-01,5.945373617847838688e+01
5.034999999999998721e+01,2.708989950772415341e+03,2.877142857142856447e-01,5.380317677800230314e+01
-4.965000000000001279e+01,-2.690599861180416610e+03,-2.837142857142858077e-01,5.419133657966597895e+01
5.034999999999998721e+01,2.687240860724518370e+03,2.877142857142856447e-01,5.337121868370444844e+01
-4.965000000000001279e+01,-2.675522033694581296e+03,-2.837142857142858077e-01,5.388765425366728579e+01
5.034999999999998721e+01,2.680549781800129495e+03,2.877142857142856447e-01,5.323832734459047344e+01
-4.965000000000001279e+01,-2.669348204937686205e+03,-2.837142857142858077e-01,5.376330724950021533e+01
5.984999999999998721e+01,2.945306955350446970e+03,3.419999999999999707e-01,4.921147795071758679e+01
-6.015000000000001279e+01,-2.952681099490700944e+03,-3.437142857142858055e-01,4.908863008297090857e+01
5.984999999999998721e+01,2.908132760228045299e+03,3.419999999999999707e-01,4.859035522519709360e+01
-6.015000000000001279e+01,-2.923535303131971887e+03,-3.437142857142858055e-01,4.860407819005771302e+01
5.984999999999998721e+01,2.894434063866894576e+03,3.419999999999999707e-01,4.836147140963901592e+01
-6.015000000000001279e+01,-2.912202514255878668e+03,-3.437142857142858055e-01,4.841566939743770348e+01
6.934999999999999432e+01,3.113620084386782764e+03,3.962857142857141857e-01,4.489718939274380460e+01
-7.065000000000000568e+01,-3.144107451615727769e+03,-4.037142857142856922e-01,4.450258247156018854e+01
6.934999999999999432e+01,3.063497320852974553e+03,3.962857142857141857e-01,4.417443865685616089e+01
-7.065000000000000568e+01,-3.097552216234020761e+03,-4.037142857142856922e-01,4.384362655674480891e+01
6.934999999999999432e+01,3.044062873787486751e+03,3.962857142857141857e-01,4.389420149657515680e+01
-7.065000000000000568e+01,-3.079158181013201101e+03,-4.037142857142856922e-01,4.358327220117764966e+01
7.934999999999999432e+01,3.226951135025329677e+03,4.534285714285714031e-01,4.066731109042633818e+01
-8.065000000000000568e+01,-3.246413778459816058e+03,-4.608571428571429096e-01,4.025311566596175794e+01
7.934999999999999432e+01,3.154623217706385276e+03,4.534285714285714031e-01,3.975580614626824882e+01
-8.065000000000000568e+01,-3.181922069443686723e+03,-4.608571428571429096e-01,3.945346645311452249e+01
7.934999999999999432e+01,3.128284213062474919e+03,4.534285714285714031e-01,3.942387162019502256e+01
-8.065000000000000568e+01,-3.158305414946663404e+03,-4.608571428571429096e-01,3.916063750708819668e+01
9.034999999999999432e+01,3.289215086227459324e+03,5.162857142857142367e-01,3.640525828696689814e+01
-8.965000000000000568e+01,-3.284874210994709301e+03,-5.122857142857143442e-01,3.664109549352715334e+01
9.034999999999999432e+01,3.215417822962923765e+03,5.162857142857142367e-01,3.558846511303734417e+01
-8.965000000000000568e+01,-3.226011146197934522e+03,-5.122857142857143442e-01,3.598450804459491792e+01
9.034999999999999432e+01,3.194178343578376371e+03,5.162857142857142367e-01,3.535338509771307969e+01
-8.965000000000000568e+01,-3.207171946502070568e+03,-5.122857142857143442e-01,3.577436638596843466e+01
1.003499999999999943e+02,3.320422731780554386e+03,5.734285714285713986e-01,3.308841785531195256e+01
-9.965000000000000568e+01,-3.330395068193985935e+03,-5.694285714285713951e-01,3.342092391564461451e+01
1.003499999999999943e+02,3.266173067571678530e+03,5.734285714285713986e-01,3.254781332906505753e+01
