Displacement_mm,BaseShear_kN
2.500000000000000000e-01,2.109906963122899626e+01
5.000000000000000000e-01,4.219249401257773258e+01
7.500000000000000000e-01,6.328010336202191155e+01
1.000000000000000000e+00,8.436163857535905208e+01
1.250000000000000000e+00,1.054368178284777144e+02
1.500000000000000000e+00,1.265053081692417010e+02
1.750000000000000000e+00,1.475668301820033150e+02
2.000000000000000000e+00,1.686212678870566890e+02
1.750000000000000000e+00,1.474120203728141689e+02
1.500000000000000000e+00,1.262028154436465144e+02
1.250000000000000000e+00,1.049936512327788307e+02
1.000000000000000000e+00,8.378454275886508640e+01
7.500000000000000000e-01,6.257551937901290273e+01
5.000000000000000000e-01,4.136649873003205613e+01
2.500000000000000000e-01,2.015753898995818361e+01
0.000000000000000000e+00,-1.047731265892765773e+00
-2.500000000000000000e-01,-2.214675657705000944e+01
-5.000000000000000000e-01,-4.323975118426805864e+01
-7.500000000000000000e-01,-6.432623072627887950e+01
-1.000000000000000000e+00,-8.540618470894308700e+01
-1.250000000000000000e+00,-1.064795455438196825e+02
-1.500000000000000000e+00,-1.275461805988811506e+02
-1.750000000000000000e+00,-1.486057704065645453e+02
-2.000000000000000000e+00,-1.696590649554859169e+02
-1.750000000000000000e+00,-1.484498438737255697e+02
-1.500000000000000000e+00,-1.272407978435451383e+02
-1.250000000000000000e+00,-1.060319127361577216e+02
-1.000000000000000000e+00,-8.482325797196924100e+01
-7.500000000000000000e-01,-6.361486443235536115e+01
-5.000000000000000000e-01,-4.240671291220184713e+01
-2.500000000000000000e-01,-2.119861558325920114e+01
0.000000000000000000e+00,9.522898301249711067e-03
2.500000000000000000e-01,2.121756109693337322e+01
5.000000000000000000e-01,4.242519678425431096e+01
7.500000000000000000e-01,6.363249285643478004e+01
1.000000000000000000e+00,8.483883552638297942e+01
1.250000000000000000e+00,1.060448158385835313e+02
1.500000000000000000e+00,1.272510882460713617e+02
1.750000000000000000e+00,1.484565157819544652e+02
2.000000000000000000e+00,1.696576715065797600e+02
1.750000000000000000e+00,1.484484602463566034e+02
1.500000000000000000e+00,1.272394193968443687e+02
1.250000000000000000e+00,1.060305367695293768e+02
1.000000000000000000e+00,8.482185221527275587e+01
7.500000000000000000e-01,6.361339176315676269e+01
5.000000000000000000e-01,4.240503888646831143e+01
2.500000000000000000e-01,2.119681115237337110e+01
0.000000000000000000e+00,-1.143605604526555866e-02
-2.500000000000000000e-01,-2.121962479586943928e+01
-5.000000000000000000e-01,-4.242731740313733724e+01
-7.500000000000000000e-01,-6.363414443763728201e+01
-1.000000000000000000e+00,-8.484028611848104617e+01
-1.250000000000000000e+00,-1.060461230806281350e+02
-1.500000000000000000e+00,-1.272519126527352000e+02
-1.750000000000000000e+00,-1.484576482829596387e+02
-2.000000000000000000e+00,-1.696641119973749596e+02
-1.750000000000000000e+00,-1.484549023077534855e+02
-1.500000000000000000e+00,-1.272458571613475442e+02
-1.250000000000000000e+00,-1.060369745761494045e+02
-1.000000000000000000e+00,-8.482832232281971585e+01
-7.500000000000000000e-01,-6.361993239764682784e+01
-5.000000000000000000e-01,-4.241178546044936581e+01
-2.500000000000000000e-01,-2.120369318774585921e+01
0.000000000000000000e+00,4.440042108652050845e-03
2.500000000000000000e-01,2.121247293804957934e+01
5.000000000000000000e-01,4.242010326408995269e+01
7.500000000000000000e-01,6.362739396287733484e+01
1.000000000000000000e+00,8.483373120578391990e+01
1.250000000000000000e+00,1.060397071071671746e+02
1.500000000000000000e+00,1.272459746735998749e+02
1.750000000000000000e+00,1.484514045997902087e+02
